"","990
028","7","",".",".",".",".",".",".",".","57.1",".",".",".","42.9",".",".",".","."
"","990
032","6","",".",".",".",".",".",".",".","16.7",".",".",".","83.3",".",".",".","."
"","990
034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","53","",".",".",".",".",".",".",".","50.9",".",".",".","49.1",".",".",".","."
"FOOD SCI
390","Dept. Total","835","3.190","23.6","25.0","21.9","10.2","4.2","1.4","0.4","4.3",".","5.6","0.1","3.1",".",".",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"390
FOOD SCI","","","","","","","","","","","","","","","","","","",""
"Freshmen","","78","3.118","26.9","16.7","17.9","10.3","5.1","3.8",".",".",".","19.2",".",".",".",".",".","."
"Sophomore","","146","3.193","25.3","25.3","22.6","13.0","4.8","2.1",".","0.7",".","6.2",".",".",".",".",".","."
"Junior","","207","3.140","22.7","25.6","27.5","11.6","4.8","1.4","0.5","0.5",".","5.3",".",".",".",".",".","."
"Senior","","279","3.178","24.0","28.0","24.0","11.5","4.7","1.1","0.7","1.4",".","4.3",".",".",".",".",".","0.4"
"Undergraduates","","710","3.164","24.2","25.5","24.1","11.7","4.8","1.7","0.4","0.8",".","6.6",".",".",".",".",".","0.1"
"Special","","6","3.750","50.0",".","16.7",".",".",".",".","16.7",".",".","16.7",".",".",".",".","."
"Graduate","","119","3.513","18.5","23.5","9.2","1.7","0.8",".",".","24.4",".",".",".","21.8",".",".",".","."
"","Dept. Total","835","3.190","23.6","25.0","21.9","10.2","4.2","1.4","0.4","4.3",".","5.6","0.1","3.1",".",".",".","0.1"
