"CLINICAL LABORATORY SCIEN","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"628
CLNLABSC","","","","","","","","","","","","","","","","","","",""
"Intro to Med Tech","102
001","31","3.741","74.2","3.2","12.9",".",".","3.2",".",".",".",".",".",".",".","6.5",".","."
"Clinical Hematology I","515
001","40","2.725","7.5","12.5","42.5","7.5","22.5","7.5",".",".",".",".",".",".",".",".",".","."
"Clinical Chemistry I","525
001","19","2.842","10.5","5.3","52.6","5.3","26.3",".",".",".",".",".",".",".",".",".",".","."
"Lab Diagnos-Infect Disease I","535
001","17","2.618","5.9","17.6","35.3",".","35.3",".","5.9",".",".",".",".",".",".",".",".","."
"Clinical Immunohematology","550
001","22","2.795","4.5","9.1","50.0","13.6","22.7",".",".",".",".",".",".",".",".",".",".","."
"Clin Immunol & Applied Tech","560
001","37","3.068","10.8","35.1","27.0","10.8","16.2",".",".",".",".",".",".",".",".",".",".","."
"","575
001","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","575
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","575
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","575
006","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Lab Science Practicum","Course Total","22","3.786","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Management Seminar","620
001","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","699
029","2","***","","","","","","","","","",".",".",".",".",".",".","."
"CLNLABSC
628","Dept. Total","209","3.010","34.4","13.4","28.7","5.3","14.8","1.9","0.5",".",".",".",".",".",".","1.0",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"628
CLNLABSC","","","","","","","","","","","","","","","","","","",""
"Freshmen","","9","3.286","44.4",".","22.2",".",".","11.1",".",".",".",".",".",".",".","22.2",".","."
"Sophomore","","11","3.818","81.8",".","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Junior","","32","2.724","18.8","9.4","34.4","9.4","25.0","3.1",".",".",".",".",".",".",".",".",".","."
"Senior","","157","3.042","33.8","15.9","28.7","5.1","14.6","1.3","0.6",".",".",".",".",".",".",".",".","."
"Undergraduates","","209","3.010","34.4","13.4","28.7","5.3","14.8","1.9","0.5",".",".",".",".",".",".","1.0",".","."
"","Dept. Total","209","3.010","34.4","13.4","28.7","5.3","14.8","1.9","0.5",".",".",".",".",".",".","1.0",".","."
