"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","28","3.964","96.4",".","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
001","15","3.300","26.7","40.0","13.3","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"","170
002","14","3.731","57.1","21.4","14.3",".",".",".",".",".",".",".",".",".",".","7.1",".","."
"","170
003","15","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
004","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
005","11","3.636","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
006","15","3.500","20.0","60.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
170","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
009","15","3.733","60.0","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
010","16","3.594","37.5","43.8","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Laboratory","Course Total","126","3.660","50.8","33.3","12.7","0.8","1.6",".",".",".",".",".",".",".",".","0.8",".","."
"Electrodynamics I","220
001","84","3.220","50.0","8.3","20.2","2.4","11.9","2.4","4.8",".",".",".",".",".",".",".",".","."
"Circuit Analysis","230
001","77","2.967","11.7","19.5","39.0","15.6","9.1","3.9",".","1.3",".",".",".",".",".",".",".","."
"","270
001","14","3.962","85.7","7.1",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"","270
002","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
270","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
270","14","3.714","64.3","14.3","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","270
005","15","3.433","26.7","40.0","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory I","Course Total","73","3.806","72.6","15.1","9.6","1.4",".",".",".","1.4",".",".",".",".",".",".",".","."
"","271
001","14","3.607","42.9","35.7","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
271","16","3.750","56.3","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
003","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
006","13","3.654","38.5","53.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
007","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory II","Course Total","67","3.746","58.2","32.8","9.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Trans Lines & Netwks Lab","301
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","305
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","305
002","7","3.714","71.4",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Semiconductr Properties Lab","Course Total","10","3.600","50.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Linear Active Circuits Lab","306
001","8","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nonlinear Elec Circuits Lab","308
001","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
001","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
002","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
003","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
004","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Optoelectronics Lab","Course Total","35","3.743","60.0","28.6","11.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
001","8","3.375","25.0","25.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
002","10","3.500","20.0","60.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
004","6","3.083","16.7","16.7","50.0",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Intro Microprocessor Lab","Course Total","24","3.354","20.8","37.5","37.5",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"Sensors Laboratory","317
001","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
320","53","2.811","18.9","15.1","17.0","18.9","26.4","1.9","1.9",".",".",".",".",".",".",".",".","."
"","002
320","35","3.200","22.9","25.7","28.6","14.3","8.6",".",".",".",".",".",".",".",".",".",".","."
"Electrodynamics II","Course Total","88","2.966","20.5","19.3","21.6","17.0","19.3","1.1","1.1",".",".",".",".",".",".",".",".","."
