"ART DEPARTMENT","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","",""
"","102
001","20","3.650","55.0","30.0","10.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","102
002","23","3.674","69.6","21.7","4.3",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"","102
003","23","3.761","69.6","17.4","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
004","25","3.780","68.0","24.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","005
102","23","3.609","52.2","34.8","4.3",".","8.7",".",".",".",".",".",".",".",".",".",".","."
"","006
102","16","3.719","56.3","31.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Two-Dimensional Design","Course Total","130","3.700","62.3","26.2","6.9","1.5","2.3",".","0.8",".",".",".",".",".",".",".",".","."
"","001
104","18","3.556","38.9","38.9","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","104
002","19","3.361","15.8","57.9","10.5",".","10.5",".",".",".",".",".",".",".",".",".","5.3","."
"","104
003","18","2.889",".","11.1","61.1","22.2","5.6",".",".",".",".",".",".",".",".",".",".","."
"","104
004","19","2.816",".","36.8","31.6","10.5","15.8",".","5.3",".",".",".",".",".",".",".",".","."
"Three-Dimensional Design","Course Total","74","3.151","13.5","36.5","29.7","9.5","8.1",".","1.4",".",".",".",".",".",".",".","1.4","."
"Foundations of Contemp Art","001
108","172","3.337","35.5","26.7","25.6","5.8","2.9","1.2","2.3",".",".",".",".",".",".",".",".","."
"","112
001","24","3.375","20.8","45.8","25.0","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"","112
002","22","3.545","36.4","36.4","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
112","23","3.761","60.9","30.4","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","112
004","21","3.690","66.7","9.5","19.0","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","112
005","20","3.421","20.0","50.0","15.0","10.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"","112
006","19","3.500","36.8","26.3","26.3","5.3",".",".",".","5.3",".",".",".",".",".",".",".","."
"","112
007","18","3.667","55.6","27.8","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","112
008","24","3.717","50.0","37.5","8.3",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"Drawing I","Course Total","171","3.586","43.3","33.3","17.5","3.5","0.6",".",".","1.8",".",".",".",".",".",".",".","."
"","001
212","14","3.143","14.3","28.6","50.0",".",".","7.1",".",".",".",".",".",".",".",".",".","."
"","212
002","26","3.173","23.1","11.5","50.0","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","212
003","18","3.382","27.8","44.4","11.1","5.6",".","5.6",".","5.6",".",".",".",".",".",".",".","."
"","212
004","20","3.211","10.0","50.0","20.0","10.0",".","5.0",".","5.0",".",".",".",".",".",".",".","."
"Drawing II","Course Total","78","3.224","19.2","32.1","33.3","6.4","2.6","3.8",".","2.6",".",".",".",".",".",".",".","."
"","214
001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","214
002","13","3.538","30.8","46.2","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","214
003","13","3.615","53.8","30.8",".","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","214
004","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sculpture I","Course Total","59","3.814","74.6","16.9","5.1","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"","001
222","18","3.222","22.2","22.2","38.9","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
"","222
002","19","3.553","42.1","31.6","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","222
003","16","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Painting","Course Total","53","3.519","41.5","30.2","20.8","5.7","1.9",".",".",".",".",".",".",".",".",".",".","."
"","224
001","15","3.929","86.7",".","6.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","002
224","18","3.588","72.2",".","16.7",".",".",".","5.6","5.6",".",".",".",".",".",".",".","."
"","224
003","15","3.667","46.7","40.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ceramics I","Course Total","48","3.717","68.8","12.5","12.5",".",".",".","2.1","4.2",".",".",".",".",".",".",".","."
"","232
001","17","3.571","29.4","52.9","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
232","16","3.656","81.3","6.3","6.3",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","232
003","12","3.518","25.0","58.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Life Drawing I","Course Total","45","3.592","46.7","37.8","13.3",".",".",".","2.2",".",".",".",".",".",".",".",".","."
