"POLITICAL SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"Intro-Internatl Relations","103","001","271","2.739","15.9","19.9","20.3","14.4","14.8","9.2","3.7","0.7",".",".",".",".",".","0.7",".","0.4"
"","104","001","336","2.803","6.3","16.1","36.0","19.9","18.5","1.8","0.6","0.3",".",".",".",".",".","0.3",".","0.3"
"","104","002","334","2.744","10.2","19.5","25.1","16.2","21.9","6.0","1.2",".",".",".",".",".",".",".",".","."
"","104","003","43","3.105","9.3","41.9","27.9","11.6","4.7","4.7",".",".",".",".",".",".",".",".",".","."
"Intro-Amer Politcs&Governmt","","Course Total","713","2.794","8.3","19.2","30.4","17.7","19.2","3.9","0.8","0.1",".",".",".",".",".","0.1",".","0.1"
"","106","001","186","3.346","23.7","35.5","30.1","8.6","1.1",".","0.5",".",".",".",".",".",".",".",".","0.5"
"","106","002","169","3.089","12.4","34.9","27.2","16.0","6.5","2.4","0.6",".",".",".",".",".",".",".",".","."
"Intro-Comparative Politics","","Course Total","355","3.223","18.3","35.2","28.7","12.1","3.7","1.1","0.6",".",".",".",".",".",".",".",".","0.3"
"","199","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","014","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","200","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Political Theory","209","001","198","3.322","13.6","50.0","26.3","5.1","2.0","0.5","0.5","1.5","0.5",".",".",".",".",".",".","."
"Law, Politics and Society","217","001","107","3.259","19.6","43.0","21.5","8.4","3.7","0.9","1.9","0.9",".",".",".",".",".",".",".","."
"Intro to East Asian Civ","222","001","10","3.350","70.0",".","10.0","10.0",".",".","10.0",".",".",".",".",".",".",".",".","."
"Politcs:Multi-Cultural Soc","230","001","105","3.201","7.6","40.0","39.0","8.6","1.0",".","1.0","2.9",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Civs of India-Modern Period","252","001","14","3.308","28.6","21.4","28.6","7.1","7.1",".",".","7.1",".",".",".",".",".",".",".","."
"Intro to Political Psych","267","001","35","3.176","11.4","31.4","34.3","20.0",".",".",".",".",".",".",".",".",".","2.9",".","."
"Africa: Introductory Survey","277","001","24","3.396","25.0","33.3","37.5","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Politics of World Economy","312","001","98","3.259","18.4","38.8","25.5","13.3",".",".","2.0",".",".",".",".",".",".","2.0",".","."
"Eur Union:Politics&Pol Econ","338","001","50","3.117","14.0","34.0","28.0","14.0","8.0","2.0",".",".",".",".",".",".",".",".",".","."
"Probs-Amer Foreign Policy","359","001","112","2.959","11.6","21.4","33.9","20.5","9.8","1.8","0.9",".",".",".",".",".",".",".",".","."
"African Intl Relations","362","001","31","3.197","25.8","22.6","25.8","16.1","3.2","3.2",".","3.2",".",".",".",".",".",".",".","."
"Anal of Internatl Relations","376","001","46","3.214","10.9","45.7","32.6","6.5","2.2",".","2.2",".",".",".",".",".",".",".",".","."
"","401","000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","401","001","45","3.619","40.0","35.6","17.8",".","2.2",".",".","2.2",".",".",".",".",".",".",".","2.2"
"","401","020","27","3.374","29.6","25.9","37.0","3.7","3.7",".",".",".",".",".",".",".",".",".",".","."
"Selected Topics-Poli Sci","","Course Total","73","3.519","35.6","32.9","24.7","1.4","2.7",".",".","1.4",".",".",".",".",".",".",".","1.4"
"Amer Politics & Government","404","001","155","3.286","27.7","27.7","26.5","12.3","3.9","0.6","0.6","0.6",".",".",".",".",".",".",".","."
"The American Presidency","408","001","85","2.900","10.6","15.3","40.0","25.9","2.4","4.7","1.2",".",".",".",".",".",".",".",".","."
"Constitutional Law","411","001","121","2.983","14.0","24.0","27.3","22.3","5.8","4.1","0.8","0.8",".",".",".",".",".",".","0.8","."
"Legislative Process","426","001","49","3.061","24.5","10.2","42.9","6.1","12.2","4.1",".",".",".",".",".",".",".",".",".","."
"Legislative Internship","427","001","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elections & Voting Behavior","467","001","30","3.100","20.0","13.3","40.0","20.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"The First Amendment","470","001","218","3.081","12.8","26.1","36.7","17.4","3.7",".","1.8","1.4",".",".",".",".",".",".",".","."
"Politics of Pressure Groups","472","001","26","3.476","38.5","38.5","15.4","3.8",".","3.8",".",".",".",".",".",".",".",".",".","."
"Political Communications","479","001","29","2.569","10.3","20.7","20.7","10.3","20.7","13.8","3.4",".",".",".",".",".",".",".",".","."
"Ancient&Medvl West Thought","501","001","56","3.747","55.4","39.3","5.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Challenge of Democratizatn","505","001","44","3.625","40.9","45.5","11.4","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 269 of 388",""
