"JOURN AND MASS COMMUNICA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"697","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"697","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"697","042","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"697","093","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"697","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","","29","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"698
Directed Study","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","41","3.753","73.2","24.4","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","094","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","56","3.794","76.8","19.6","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"810
Mass Communicatn Law&Policy","001","","12","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"840
Strategic Mass Communicatn","001","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"849
Mass Communicatn&Individual","001","","13","3.500","23.1","53.8","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"901
Colloquium:Mass Communicatn","001","","27","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"918
Smr-Hist Mass Com,Rsch&Meth","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"970
Smr-Mass Comm&Soc Institutn","001","","7","3.833","57.1","28.6",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"990","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","","36","",".",".",".",".",".",".",".","72.2",".",".",".","27.8",".",".",".","."
"999","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
