"BIOCHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"200
BIOCHEM","","","","","","","","","","","","","","","","","","","",""
"692
Senior Thesis","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","10","4.000","80.0",".",".",".",".",".",".",".",".",".",".",".",".","10.0","10.0","."
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","16","3.793","81.3",".",".",".","6.3",".",".",".",".",".",".",".",".","6.3","6.3","."
"800
Prac Nuc Mag Resonance Thry","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"901
Smr-Nutr&Metabolism (Adv)","001","","16","3.769","62.5",".","18.8",".",".",".",".","18.8",".",".",".",".",".",".",".","."
"903
Smr-Membrane Biochem (Adv)","001","","10","3.563","20.0","50.0","10.0",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"905
Smr-Biomolec Structur (Adv)","001","","25","3.750","28.0","16.0","4.0",".",".",".",".","52.0",".",".",".",".",".",".",".","."
"908
Smr:Nitrogen Fixation (Adv)","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"909
Smr-Enzymology (Advanced)","001","","8","4.000","75.0",".",".",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"910
Smr-Molecular Virolgy (Adv)","001","","20","4.000","15.0",".",".",".",".",".",".","85.0",".",".",".",".",".",".",".","."
"911
Smr:Molec Mech-Hormone Act","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"912
Smr-Molec Mech of Develpmnt","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"913
Smr-RiboGroup (Advanced)","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"914
Smr-Molecular Biosci (Adv)","001","","18","4.000","38.9",".",".",".",".",".",".","61.1",".",".",".",".",".",".",".","."
"932
Biotechnol Traing Prgm Smr","001","","17","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","7","",".",".",".",".",".",".",".","28.6",".",".",".","71.4",".",".",".","."
"990","018","","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","6","",".",".",".",".",".",".",".","33.3",".",".",".","66.7",".",".",".","."
"990","040","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","046","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","6","",".",".",".",".",".",".",".","83.3",".",".",".","16.7",".",".",".","."
"990","051","","9","",".",".",".",".",".",".",".","77.8",".",".",".","22.2",".",".",".","."
"990","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","056","","6","",".",".",".",".",".",".",".","33.3",".",".",".","66.7",".",".",".","."
"990","057","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","058","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 11 of 388"
