"","990
016","1","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
041","3","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
042","1","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","31","",".",".",".",".",".","",".","",".","93.5",".",".",".","6.5","",".",".",".","."
"AGRONOMY
132","Dept. Total","166","3.364","31.3","18.7","16.3","6.6","4.8","",".","",".","21.1",".",".",".","1.2","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"132
AGRONOMY","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","7","3.500","42.9","28.6","14.3","14.3",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Sophomore","","23","3.420","26.1","39.1","30.4","4.3",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Junior","","26","3.189","30.8","15.4","30.8","11.5","11.5","",".","",".",".",".",".",".",".","",".",".",".","."
"Senior","","42","3.317","40.5","23.8","16.7","9.5","9.5","",".","",".",".",".",".",".",".","",".",".",".","."
"Undergraduates","","98","3.325","34.7","25.5","23.5","9.2","7.1","",".","",".",".",".",".",".",".","",".",".",".","."
"Special","","6","3.722","66.7","16.7","16.7",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Graduate","","62","3.500","22.6","8.1","4.8","3.2","1.6","",".","",".","56.5",".",".",".","3.2","",".",".",".","."
"","Dept. Total","166","3.364","31.3","18.7","16.3","6.6","4.8","",".","",".","21.1",".",".",".","1.2","",".",".",".","."
