"CIVIL AND ENVIRONMENTAL EN Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engr Spatial Measurements","251","001","","36","3.431","30.6","38.9","25.0","2.8",".","2.8",".",".",".",".",".",".",".",".",".","."
"Intro-Aerial Photo Systems","301","001","","45","3.279","35.6","22.2","17.8","4.4","13.3","2.2",".",".",".",".",".",".",".","4.4",".","."
"Elec-op&Micro Remote Sensng","302","001","","37","3.028","27.0","24.3","10.8","8.1","21.6","5.4",".",".",".",".",".",".",".","2.7",".","."
"Remote Sensng Digtl Image","303","001","","25","2.913","16.0","8.0","40.0","16.0","8.0",".","4.0",".",".",".",".",".",".","8.0",".","."
"Remote Sensng Vis Image&GIS","304","001","","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundmnt Comput-Land Inf Sys","307","001","","10","3.400","30.0","20.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spatl Framewk-Land Info Sys","308","001","","13","3.346","23.1","30.8","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Fluid Mechanics","310","001","","60","2.446","5.0","8.3","16.7","18.3","40.0","3.3","1.7","6.7",".",".",".",".",".",".",".","."
"Hydroscience","311","001","","44","2.943","15.9","18.2","20.5","34.1","9.1","2.3",".",".",".",".",".",".",".",".",".","."
"Hydrology","315","001","","20","3.368","30.0","15.0","45.0","5.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"Environmental Engineering","320","001","","90","3.033","22.2","2.2","52.2","6.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"Dsgn-Wastewtr Treatmnt Plnt","326","001","","15","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soil Mechanics","330","001","","24","2.750","16.7","8.3","20.8","25.0","25.0","4.2",".",".",".",".",".",".",".",".",".","."
"Structural Analysis I","340","001","","40","2.731","17.5","2.5","37.5","5.0","27.5","7.5",".","2.5",".",".",".",".",".",".",".","."
"Concrete Structures I","347","001","","50","2.790","16.0","6.0","32.0","16.0","28.0","2.0",".",".",".",".",".",".",".",".",".","."
"Intro to Geographc Info Sys","357","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Transportation Engineering","370","001","","37","3.473","40.5","18.9","35.1","5.4",".",".",".",".",".",".",".",".",".",".",".","."
"On-Site Waste Water Treatment","372","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Geom Anal-Vert Aerial Photo","403","001","","9","3.188","33.3",".","33.3","11.1","11.1",".",".",".",".",".",".",".",".","11.1",".","."
"Environmentl Engineerng Lab","424","001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Solid&Hazardous Wastes Engr","427","001","","13","3.455","15.4","46.2","23.1",".",".",".",".","15.4",".",".",".",".",".",".",".","."
"Structural Analysis II","440","001","","26","3.365","26.9","26.9","42.3",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"Steel Structures II","445","001","","20","2.950","10.0",".","75.0",".","15.0",".",".",".",".",".",".",".",".",".",".","."
"Legal Aspects-Engineering","491","001","","40","3.088","20.0","12.5","45.0","10.0","12.5",".",".",".",".",".",".",".",".",".",".","."
"","498","001","","46","3.913","89.1","4.3","6.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","498","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Constructn Project Managmnt","","Course Total","","48","3.917","89.6","4.2","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Water Chemistry","500","001","","31","3.774","61.3","32.3","6.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Water Analysis-Intermediate","501","001","","30","3.383","40.0","20.0","30.0","3.3","3.3","3.3",".",".",".",".",".",".",".",".",".","."
"Water Anal Intermediate Lab","503","001","","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations","532","001","","24","3.083","16.7","12.5","41.7","29.2",".",".",".",".",".",".",".",".",".",".",".","."
"Waste Geotechnics","533","001","","9","3.444","44.4","11.1","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Field Methods-Geol Engr","534","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Urban Transport Planning","571","001","","14","3.821","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Geometric Dsgn-Transprt Fac","573","001","","15","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Highway Design","576","001","","20","3.600","45.0","35.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Transportation Engr","579","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Constructability Analysis","596","001","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Water Chemistry","609","001","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
