"LIFE SCIENCES COMMUNICATIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"120
L SC COM","","","","","","","","","","","","","","","","","","","",""
"699","034","","6","3.765","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","078","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","23","3.821","73.9","8.7","13.0",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"740
Communicating Sci & Technol","001","","14","3.786","78.6","7.1","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"875
Special Topics","001","","9","3.667","66.7","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"901
Colloquium:Mass Communicatn","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","024","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","15","",".",".",".",".",".",".",".","86.7",".",".",".","13.3",".",".",".","."
"999","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Research","Course Total","","2","***","","","","","","","","","","","","","","","",""
"L SC COM
120","Dept. Total","","430","3.451","39.3","28.4","17.0","7.0","2.8","0.9","0.2","3.3",".","0.2",".","0.5","0.2",".",".","0.2"
