"243
TRAN P U","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Economics of Transportation","444
001","","5","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","640
001","","16","3.594","50.0","31.3","12.5",".","6.3",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"","640
002","","10","3.950","90.0","10.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"Transp & Business Logistics","Course Total","","26","3.731","65.4","23.1","7.7",".","3.8","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"TRAN P U
243","Dept. Total","","31","3.629","58.1","22.6","9.7","6.5","3.2","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"243
TRAN P U","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","6","3.167","33.3","16.7","16.7","16.7","16.7","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","13","3.615","46.2","38.5","7.7","7.7",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","19","3.474","42.1","31.6","10.5","10.5","5.3","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","2","3.500","50.0",".","50.0",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","10","3.950","90.0","10.0",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","31","3.629","58.1","22.6","9.7","6.5","3.2","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
