"COMMUNICATION ARTS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"Thry&Practice of Persuasion","368","001","122","2.404","2.5","8.2","28.7","18.9","29.5","8.2","3.3","0.8",".",".",".",".",".",".",".","."
"Communictn&Conflict Resltn","371","001","64","3.365","23.4","42.2","25.0","6.3","1.6","1.6",".",".",".",".",".",".",".",".",".","."
"Miscommunication","410","001","34","3.019","11.8","5.9","70.6",".","11.8",".",".",".",".",".",".",".",".",".",".","."
"History of Broadcasting","450","001","38","2.237",".","15.8","21.1","21.1","21.1","10.5","10.5",".",".",".",".",".",".",".",".","."
"Critical Film Analysis","454","001","22","3.500","40.9","31.8","13.6","13.6",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Media & Human Behavior","457","001","121","3.302","24.8","34.7","21.5","14.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Communicatn Technol&Society","459","001","39","2.936","5.1","35.9","20.5","23.1","12.8","2.6",".",".",".",".",".",".",".",".",".","."
"Amer Film Indstry-Age of TV","557","001","37","2.917","5.4","24.3","35.1","24.3","5.4",".","2.7",".",".",".",".",".",".",".",".","2.7"
"Public, Community&Alt Media","558","001","31","3.371","29.0","35.5","25.8",".","9.7",".",".",".",".",".",".",".",".",".",".","."
"Communication Theory","560","001","23","3.065","17.4","21.7","47.8",".","8.7",".","4.3",".",".",".",".",".",".",".",".","."
"Communictn&Interethnc Behav","565","001","42","3.190","14.3","31.0","45.2","7.1",".",".","2.4",".",".",".",".",".",".",".",".","."
"Modern Rhetorical Theory","571","001","9","3.500","55.6","11.1","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Interpersonal Communication","572","001","26","2.260",".","15.4","15.4","19.2","26.9","15.4","3.8",".",".",".",".",".",".","3.8",".","."
"Prin-Rhetorical Criticism","576","001","24","3.304","12.5","45.8","29.2","4.2","4.2",".",".","4.2",".",".",".",".",".",".",".","."
"","612","001","19","3.658","63.2","10.5","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","612","002","10","3.750","70.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Communicatn Studies","","Course Total","29","3.690","65.5","10.3","20.7","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"","613","001","31","3.339","35.5","29.0","19.4","6.5","6.5","3.2",".",".",".",".",".",".",".",".",".","."
"","613","002","14","3.808","64.3","21.4","7.1",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"","613","003","14","3.393","14.3","50.0","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics; Broadcasting & Film","","Course Total","59","3.457","37.3","32.2","20.3","3.4","3.4","1.7",".","1.7",".",".",".",".",".",".",".","."
"","614","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Exper in Communicatn","","Course Total","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Mass Media and Youth","616","001","33","3.470","33.3","39.4","21.2",".","6.1",".",".",".",".",".",".",".",".",".",".","."
"Hlth Communication-Info Age","617","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Video Productn&Directn","651","001","22","3.295","27.3","27.3","27.3","13.6","4.5",".",".",".",".",".",".",".",".",".",".","."
"TV Dramatc Productn&Directn","653","001","14","3.357","21.4","35.7","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"German Film","655","001","15","3.233","26.7","26.7","26.7","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"","656","001","14","3.321","14.3","35.7","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","656","002","13","3.269","23.1","53.8","15.4",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"Adv Motion Picture Productn","","Course Total","27","3.296","18.5","44.4","33.3",".",".",".","3.7",".",".",".",".",".",".",".",".","."
"Writing for Tv & Film","658","001","10","3.300","10.0","40.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","027","1","***","","","","","","","","","",".",".",".",".",".",".","."
