"","990
029","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
033","2","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
034","3","***","","","","","","","","","",".",".",".",".","",".",".","."
"Research and Thesis","Course Total","17","",".",".",".",".",".",".",".","76.5",".",".",".","23.5","",".",".",".","."
"M S & E
636","Dept. Total","503","3.346","35.0","17.3","22.9","5.6","3.2","1.0","0.6","9.3",".",".",".","4.6","",".",".","0.6","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","18","3.483","61.1","11.1","16.7","5.6","5.6",".",".",".",".",".",".",".","",".",".",".","."
"Sophomore","","130","3.261","28.5","24.6","30.8","10.0","3.1","3.1",".",".",".",".",".",".","",".",".",".","."
"Junior","","87","3.409","42.5","17.2","31.0","4.6","3.4",".","1.1",".",".",".",".",".","",".",".",".","."
"Senior","","116","3.302","38.8","23.3","24.1","6.0","4.3","0.9","1.7","0.9",".",".",".",".","",".",".",".","."
"Undergraduates","","351","3.319","37.0","21.7","27.9","7.1","3.7","1.4","0.9","0.3",".",".",".",".","",".",".",".","."
"Special","","3","3.250",".","33.3","33.3",".",".",".",".",".",".",".",".",".","",".",".","33.3","."
"Graduate","","149","3.483","30.9","6.7","10.7","2.0","2.0",".",".","30.9",".",".",".","15.4","",".",".","1.3","."
"","Dept. Total","503","3.346","35.0","17.3","22.9","5.6","3.2","1.0","0.6","9.3",".",".",".","4.6","",".",".","0.6","."
