"BUS","","","","","","","","","","","","","","","","","","","",""
"GENERAL BUSINESS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","",""
"","704
004","","22","3.636","54.5","18.2","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","704
005","","24","3.542","50.0","16.7","29.2",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"Data Analysis for Managers","Course Total","","91","3.538","51.6","12.1","29.7","5.5","1.1",".",".",".",".",".",".",".",".",".",".","."
"","001
706","","42","3.488","26.2","45.2","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","706
002","","31","3.774","64.5","25.8","9.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Statistical Methods I","Course Total","","73","3.610","42.5","37.0","20.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","710
001","","35","3.765","60.0","28.6","8.6",".",".",".",".",".",".",".",".",".",".","2.9",".","."
"","710
002","","39","3.603","53.8","28.2","15.4",".",".",".","2.6",".",".",".",".",".",".",".",".","."
"Ethics & Social Responsblty","Course Total","","74","3.678","56.8","28.4","12.2",".",".",".","1.4",".",".",".",".",".",".","1.4",".","."
"","001
765","","33","3.362","30.3","24.2","18.2","9.1","6.1",".",".","9.1",".",".",".",".","3.0",".",".","."
"","765
002","","44","3.431","36.4","20.5","11.4","4.5","9.1",".",".","6.8","2.3",".",".",".","4.5","4.5",".","."
"","765
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","79","3.400","32.9","21.5","13.9","6.3","7.6",".",".","8.9","1.3",".",".",".","3.8","2.5","1.3","."
"GEN BUS
231","Dept. Total","","1969","3.235","29.7","26.0","23.5","9.2","8.9","1.0","0.3","0.5","0.1","0.5",".",".","0.2","0.2","0.1","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","68","2.516","5.9","5.9","26.5","19.1","22.1","10.3",".",".",".","10.3",".",".",".",".",".","."
"Sophomore","","","161","2.829","11.2","16.1","25.5","26.1","15.5","3.7",".",".",".","1.9",".",".",".",".",".","."
"Junior","","","374","3.128","16.3","28.3","32.1","14.4","7.8","0.5","0.5",".",".",".",".",".",".",".",".","."
"Senior","","","818","3.227","26.0","27.0","26.5","7.5","12.0","0.5","0.1","0.4",".",".",".",".",".",".",".","."
"Undergraduates","","","1421","3.126","20.8","25.1","27.9","12.0","11.8","1.3","0.2","0.2",".","0.7",".",".",".",".",".","."
"Special","","","47","3.136","36.2","12.8","19.1","4.3","17.0",".","2.1",".",".",".",".",".",".","6.4","2.1","."
"Graduate","","","497","3.683","54.5","29.6","11.5","1.8","0.2",".","0.2","1.4","0.2",".",".",".","0.6",".",".","."
"Prof Yr 2","","","2","3.100",".","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 3","","","2","3.400","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","","4","3.250","25.0","25.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","","1969","3.235","29.7","26.0","23.5","9.2","8.9","1.0","0.3","0.5","0.1","0.5",".",".","0.2","0.2","0.1","."
