"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"Watercolor I","242
001","","13","3.833","76.9","7.7",".","7.7",".",".",".",".",".",".",".",".",".","7.7",".","."
"","244
001","","14","2.885","14.3","21.4","35.7",".","14.3",".","7.1",".",".",".",".",".",".",".","7.1","."
"","002
244","","11","3.250","18.2","27.3","27.3","18.2",".",".",".","9.1",".",".",".",".",".",".",".","."
"","244
003","","15","2.714","20.0","26.7","6.7","13.3","13.3",".","13.3","6.7",".",".",".",".",".",".",".","."
"Art Metal I","Course Total","","40","2.919","17.5","25.0","22.5","10.0","10.0",".","7.5","5.0",".",".",".",".",".",".","2.5","."
"","246
001","","17","3.410","29.4","29.4","35.3","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","246
002","","20","3.325","40.0","10.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Lettering","Course Total","","37","3.364","35.1","18.9","29.7","16.2",".",".",".",".",".",".",".",".",".",".",".","."
"","302
001","","21","3.571","47.6","19.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","302
002","","16","3.625","43.8","37.5","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Color","Course Total","","37","3.595","45.9","27.0","27.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
306","","9","3.167","22.2","22.2","22.2","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"","002
306","","14","3.357","14.3","50.0","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Relief Printmaking","Course Total","","23","3.283","17.4","39.1","26.1","17.4",".",".",".",".",".",".",".",".",".",".",".","."
"","312
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
312","","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Drawing I","Course Total","","16","3.813","68.8","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","314
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","314
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","314
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","314
004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Sculpture II","Course Total","","11","3.273","63.6",".","9.1","18.2",".",".","9.1",".",".",".",".",".",".",".",".","."
"Lithography","316
001","","15","3.767","60.0","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nonstatic Forms","318
001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
001","","15","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
002","","16","3.156","18.8","25.0","25.0","31.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Painting I","Course Total","","31","3.419","38.7","22.6","22.6","16.1",".",".",".",".",".",".",".",".",".",".",".","."
"Ceramics II","001
324","","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Etching","326
001","","14","3.321","28.6","50.0","14.3",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Computer in the Visual Arts","328
001","","11","3.682","72.7",".","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","332
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","332
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","332
004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Life Drawing II","Course Total","","10","3.556","40.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".","10.0",".","."
"","334
001","","9","3.188","11.1","33.3","22.2","22.2",".",".",".","11.1",".",".",".",".",".",".",".","."
"","002
334","","7","2.571",".","28.6","14.3","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".","."
"Wood Working","Course Total","","16","2.900","6.3","31.3","18.8","25.0","6.3","6.3",".","6.3",".",".",".",".",".",".",".","."
"","336
001","","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","336
002","","13","3.577","61.5","15.4",".","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"Serigraphy","Course Total","","24","3.646","58.3","25.0","4.2","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Watercolor II","342
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Art Metal II","344
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","346
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
