"ENVIR ST - GAYLORD NELSON I","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Environmental Geology","106
001","","21","2.381","4.8","9.5","28.6","9.5","38.1",".","9.5",".",".",".",".",".",".",".",".","."
"Envr St-Humanistic Perspctv","113
001","","234","3.167","15.0","37.2","27.8","10.3","6.0","1.7","0.9","1.3",".",".",".",".",".",".",".","."
"","120
001","","19","3.079","10.5","26.3","42.1","10.5","10.5",".",".",".",".",".",".",".",".",".",".","."
"","120
002","","18","3.111","5.6","27.8","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Global Phys Environments","Course Total","","37","3.095","8.1","27.0","45.9","13.5","5.4",".",".",".",".",".",".",".",".",".",".","."
"","121
001","","23","3.022","13.0","30.4","26.1","8.7","21.7",".",".",".",".",".",".",".",".",".",".","."
"","121
002","","29","3.231","13.8","20.7","48.3","6.9",".",".",".",".",".",".",".",".",".","6.9","3.4","."
"Atmspherc Envirnmnt&Society","Course Total","","52","3.133","13.5","25.0","38.5","7.7","9.6",".",".",".",".",".",".",".",".","3.8","1.9","."
"Principles-Envrnmtl Science","001
126","","39","3.679","51.3","33.3","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","127
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","127
002","","20","3.150","20.0","25.0","25.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Physical Systems of Envr","Course Total","","25","3.180","24.0","24.0","20.0","28.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"Insects and Human Culture","201
001","","15","2.833","20.0","26.7","20.0","6.7","13.3","6.7","6.7",".",".",".",".",".",".",".",".","."
"Soil: Ecosystem & Resource","230
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Aerial Photo Systems","301
001","","7","3.714","71.4","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Elec-op&Micro Remote Sensng","302
001","","6","3.667","66.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Remote Sensng Digtl Image","303
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Remote Sensng Vis Image&GIS","304
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Limnology-Aquatic Resources","315
001","","10","3.000","30.0",".","40.0",".","20.0","10.0",".",".",".",".",".",".",".",".",".","."
"Soils and Envrnmtl Quality","324
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","339
001","","37","2.571","18.9","8.1","18.9","10.8","27.0","16.2",".",".",".",".",".",".",".",".",".","."
"","339
002","","25","2.720","16.0","16.0","20.0","24.0","16.0",".","8.0",".",".",".",".",".",".",".",".","."
"Environmental Conservation","Course Total","","62","2.632","17.7","11.3","19.4","16.1","22.6","9.7","3.2",".",".",".",".",".",".",".",".","."
"Environmental Economics","343
001","","24","3.167","37.5","20.8","8.3","12.5","20.8",".",".",".",".",".",".",".",".",".",".","."
"Extinction of Species","360
001","","15","3.567","46.7","33.3","13.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics-Environ Studies","400
003","","12","3.900","66.7","16.7",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Geom Anal-Vert Aerial Photo","403
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Environmental Ethics","441
001","","34","3.074","8.8","17.6","58.8","8.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"Air Pollution&Human Health","502
001","","16","3.531","50.0","18.8","18.8","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","600
001","","19","3.397","26.3","26.3","47.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
002","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Envir Studies Cert Seminar","Course Total","","34","3.660","58.8","14.7","26.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682
068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Applictn of GIS:Natrl Rsrcs","695
001","","10","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
075","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
