"MEDICAL MICROBIOL & IMMUN","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"620
M M & I","","","","","","","","","","","","","","","","","","","",""
"301
Pathogenic Microorganisms","001","","104","3.228","26.0","26.0","30.8","7.7","5.8","1.9","1.0",".","1.0",".",".",".",".",".",".","."
"302","001","","31","3.177","32.3","16.1","22.6","12.9","16.1",".",".",".",".",".",".",".",".",".",".","."
"302","002","","30","3.500","40.0","26.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"302","003","","26","3.231","19.2","42.3","19.2","11.5","3.8","3.8",".",".",".",".",".",".",".",".",".","."
"Medical Microbiology Lab","Course Total","","87","3.305","31.0","27.6","23.0","10.3","6.9","1.1",".",".",".",".",".",".",".",".",".","."
"341
Immunology","001","","45","2.833","35.6","2.2","17.8","13.3","22.2","2.2","6.7",".",".",".",".",".",".",".",".","."
"504
Infect Disease-Human Beings","001","","60","3.178","15.0","13.3","63.3","5.0","1.7",".",".","1.7",".",".",".",".",".",".",".","."
"528
Immunology","001","","112","3.330","42.9","7.1","33.9","3.6","8.0","0.9","0.9","1.8",".",".",".",".",".",".",".","0.9"
"529
Immunology Laboratory","001","","31","3.419","45.2","9.7","32.3","9.7","3.2",".",".",".",".",".",".",".",".",".",".","."
"677","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"677","012","","55","3.468","40.0","25.5","23.6","10.9",".",".",".",".",".",".",".",".",".",".",".","."
"677","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Topics-Medicl Microbiol","Course Total","","60","3.553","45.0","23.3","21.7","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"681","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"696
Senior Seminar","001","","41","3.939","90.2","7.3","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","011","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","","47","3.975","95.7",".","2.1",".",".",".",".",".",".",".",".","2.1",".",".",".","."
"701
Infection and Immunity I","001","","140","3.529","52.9",".","47.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"740
Mech Microbial Pathogenesis","001","","7","3.357","14.3","42.9","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"900
Journal Club","001","","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"914
Smr-Molecular Biosci (Adv)","001","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 328 of 388",""
