"LITERATURE IN TRANSLATION","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","",""
"19&20th C Russn Lit Tran I","201
001","65","3.207","18.5","26.2","41.5","7.7","3.1",".","1.5",".",".",".",".",".",".","1.5",".","."
"19&20 C Russian Lit Tran I","203
001","78","3.260","24.4","37.2","21.8","9.0","2.6","1.3","2.6",".",".",".",".",".",".","1.3",".","."
"Polish Lit Tran:Late19&20 C","216
001","20","3.325","40.0","15.0","25.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Tolstoy in Translation","224
001","14","3.679","57.1","21.4","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Biblical Lit","227
001","27","2.389","7.4","11.1","25.9","7.4","33.3","7.4","7.4",".",".",".",".",".",".",".",".","."
"Russian Life&Cult (to 1917)","233
001","29","3.210","27.6","20.7","41.4","3.4","3.4",".","3.4",".",".",".",".",".",".",".",".","."
"Biblical Poetry in Translation","237
001","14","2.571","14.3","14.3","21.4","28.6","7.1",".","14.3",".",".",".",".",".",".",".",".","."
"Lit Tran:20c Fr Mastrpieces","250
001","26","3.625","34.6","50.0","3.8","3.8",".",".",".","7.7",".",".",".",".",".",".",".","."
"Lt Tran:Dante-Divine Comedy","253
001","46","3.435","34.8","26.1","32.6","4.3","2.2",".",".",".",".",".",".",".",".",".",".","."
"Chinese Lit in Translation","261
001","37","3.333","29.7","29.7","27.0","8.1",".",".","2.7","2.7",".",".",".",".",".",".",".","."
"Japanese Lit in Translation","263
001","21","2.881","9.5","33.3","23.8","9.5","19.0",".","4.8",".",".",".",".",".",".",".",".","."
"In Tran:Yiddsh Lit-E Europe","269
001","11","3.636","27.3","72.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
001","121","3.207","24.0","30.6","21.5","14.0","5.8","1.7","0.8","1.7",".",".",".",".",".",".",".","."
"","271
002","63","3.331","25.4","36.5","20.6","9.5","6.3",".",".",".",".",".",".",".","1.6",".",".","."
"Scand LitTran:Mid Ages-1900","Course Total","184","3.257","24.5","32.6","21.2","12.5","6.0","1.1","0.5","1.1",".",".",".",".","0.5",".",".","."
"","001
275","92","3.131","10.9","33.7","40.2","7.6","3.3",".","3.3","1.1",".",".",".",".",".",".",".","."
"","275
002","108","3.326","17.6","45.4","28.7","4.6","2.8",".","0.9",".",".",".",".",".",".",".",".","."
"In Transl:Hans C. Andersen","Course Total","200","3.238","14.5","40.0","34.0","6.0","3.0",".","2.0","0.5",".",".",".",".",".",".",".","."
"In Trans:Mythlgy-Scandnavia","342
001","14","3.372","7.1","57.1","28.6",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"In Trans:Woman in Scand Lit","343
001","9","3.333","11.1","44.4","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mod Indonesian Lit in Tran","379
001","11","3.350","36.4","45.5",".",".",".",".","9.1",".",".",".",".",".",".","9.1",".","."
"Hist-Serbian & Croatian Lit","454
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Pol Lit(Tran) Mid Ages-1863","471
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"LITTRANS
551","Dept. Total","813","3.245","22.9","33.5","27.1","7.9","4.8","0.6","2.0","0.9",".",".",".",".","0.1","0.4",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","",""
"Freshmen","","137","3.098","19.0","30.7","28.5","10.2","5.8","1.5","3.6",".",".",".",".",".","0.7",".",".","."
"Sophomore","","318","3.272","22.3","33.6","30.2","6.9","3.5",".","2.2","0.6",".",".",".",".",".","0.6",".","."
"Junior","","207","3.222","20.8","35.7","26.1","8.2","6.3","1.0","1.4","0.5",".",".",".",".",".",".",".","."
"Senior","","144","3.330","28.5","33.3","21.5","7.6","4.9","0.7","0.7","2.1",".",".",".",".",".","0.7",".","."
"Undergraduates","","806","3.240","22.5","33.6","27.3","7.9","4.8","0.6","2.0","0.7",".",".",".",".","0.1","0.4",".","."
"Special","","2","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"Graduate","","5","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","813","3.245","22.9","33.5","27.1","7.9","4.8","0.6","2.0","0.9",".",".",".",".","0.1","0.4",".","."
