"THEATRE AND DRAMA","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","","",""
"462
Thtr-Yng Audiences:Productn","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"521
Drama of Europe: 1650-1850","001","","20","3.526","30.0","45.0","15.0","5.0",".",".",".",".",".",".",".",".",".","5.0",".","."
"542
Movement Styles","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"561
Backstage Laboratory III","001","","31","3.864","80.6","9.7","3.2","6.5",".",".",".",".",".",".",".",".",".",".",".","."
"566
Stage Lighting Design III","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"619","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"619","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Specl Topics-Theatre&Drama","Course Total","","6","3.706","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"670
Adv Study-Theatre Dsgn&Tech","001","","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","","14","3.902","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"700
Prosem: Intro Rsch-Theatre","001","","15","3.800","80.0","13.3",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"740
Voice Training","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"750
Graduate Acting","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799
Independent Study","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"822
Shakespeare Smr:Thry&Pract","001","","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"970
Dsgn & Technlgy Core Curric","001","","9","3.611","33.3","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","6","",".",".",".",".",".",".",".","83.3",".",".",".","16.7",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","27","",".",".",".",".",".",".",".","88.9",".",".",".","11.1",".",".",".","."
"999
Independent Study","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
