"CONTINUING AND VOCATIONAL  Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"268
C A V E","","","","","","","","","","","","","","","","","","","",""
"299","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","069","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"371
Prgm Planning-Fam&Consmr Ed","001","","21","3.500","47.6","19.0","23.8","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"375
Special Topics","001","","11","3.455","36.4","36.4","18.2",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"399","069","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","3","***","","","","","","","","","","","","","","","",""
"470
Stdt Teaching in Voc Educ","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"511
Intro Ag & Nat Rscrs-Dev Cntry","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"600
Intro-Continuing & Voc Educ","001","","13","3.875","76.9","7.7","7.7",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"602
Intro-Eval in Cont & Voc Ed","001","","20","3.500","50.0",".","40.0","5.0",".",".",".",".",".",".",".",".",".",".","5.0","."
"630
Program Develop-Cont Educ","001","","16","3.733","62.5","12.5","18.8",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"641
The Adult Learner","001","","15","3.808","53.3","33.3",".",".",".",".",".","6.7",".",".",".",".","6.7",".",".","."
"675
General Topics","001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","069","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","074","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","078","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Stdy-Special Proj&Prob","Course Total","","18","3.970","83.3","5.6",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"709
Iss& Probs-Eval-Cont&Voc Ed","001","","11","3.850","63.6","27.3",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"729
Iss & Probs-Cont & Voc Educ","001","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"741
Intro to College Teaching","001","","12","3.864","66.7","25.0",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"795
Internship-Adult & Ext Educ","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"811
Suprvsn in Extension&Con Ed","001","","8","3.857","62.5","25.0",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"990","036","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","15","",".",".",".",".",".",".",".","86.7",".",".",".","13.3",".",".",".","."
"990","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","064","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","069","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","074","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","076","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","40","",".",".",".",".",".",".",".","72.5",".",".",".","27.5",".",".",".","."
"999
Advanced Independent Study","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
