"BUS","","","","","","","","","","","","","","","","","","",""
"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"","300
001","268","3.176","14.6","21.3","49.6","14.2","0.4",".",".",".",".",".",".",".",".",".",".","."
"","300
002","255","3.096","9.0","20.4","53.7","15.3","1.2","0.4",".",".",".",".",".",".",".",".",".","."
"","300
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Marketing Management","Course Total","528","3.143","12.3","21.0","51.1","14.6","0.8","0.2",".",".",".",".",".",".",".",".",".","."
"","305
001","43","3.209","25.6","16.3","41.9","7.0","9.3",".",".",".",".",".",".",".",".",".",".","."
"","305
002","56","3.375","26.8","33.9","32.1","1.8","5.4",".",".",".",".",".",".",".",".",".",".","."
"","003
305","47","3.181","4.3","48.9","34.0","8.5","2.1","2.1",".",".",".",".",".",".",".",".",".","."
"","305
004","43","3.116","4.7","46.5","25.6","14.0","9.3",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","189","3.230","15.9","36.5","33.3","7.4","6.3","0.5",".",".",".",".",".",".",".",".",".","."
"","310
001","44","3.057","13.6","18.2","50.0","11.4","2.3","4.5",".",".",".",".",".",".",".",".",".","."
"","310
002","47","3.032","8.5","23.4","42.6","17.0","8.5",".",".",".",".",".",".",".",".",".",".","."
"","003
310","44","3.216","13.6","38.6","36.4","4.5","4.5","2.3",".",".",".",".",".",".",".",".",".","."
"","310
004","52","2.942","7.7","25.0","28.8","25.0","13.5",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","Course Total","187","3.056","10.7","26.2","39.0","15.0","7.5","1.6",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365
002","15","3.636","46.7","33.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
131","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","Course Total","2","***","","","","","","","","","","","","","","","",""
"Marketing Communications","415
001","64","3.205","26.6","29.7","17.2","12.5","14.1",".",".",".",".",".",".",".",".",".",".","."
"","420
001","38","3.263","10.5","47.4","28.9","10.5","2.6",".",".",".",".",".",".",".",".",".",".","."
"","420
002","40","3.163","15.0","32.5","30.0","15.0","7.5",".",".",".",".",".",".",".",".",".",".","."
"Global Marketing","Course Total","78","3.212","12.8","39.7","29.5","12.8","5.1",".",".",".",".",".",".",".",".",".",".","."
"Product & Price Management","001
430","41","3.354","12.2","48.8","36.6","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"","454
001","8","3.563","50.0","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","454
002","6","3.583","66.7",".","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Promotional Campaigns","Course Total","14","3.571","57.1","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","460
001","24","3.479","16.7","66.7","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","002
460","31","3.400","16.1","64.5","9.7",".","3.2","3.2",".","3.2",".",".",".",".",".",".",".","."
"","460
003","30","3.583","40.0","36.7","23.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Strategy","Course Total","85","3.488","24.7","55.3","15.3","1.2","1.2","1.2",".","1.2",".",".",".",".",".",".",".","."
"Sales Management","635
001","46","3.380","19.6","43.5","32.6","2.2","2.2",".",".",".",".",".",".",".",".",".",".","."
"Retail Management","640
001","42","3.107","9.5","26.2","52.4","4.8","4.8","2.4",".",".",".",".",".",".",".",".",".","."
"","700
001","37","3.625","27.0","67.6","2.7",".",".",".",".","2.7",".",".",".",".",".",".",".","."
"","700
002","30","3.621","30.0","60.0","6.7",".",".",".",".","3.3",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","67","3.623","28.4","64.2","4.5",".",".",".",".","3.0",".",".",".",".",".",".",".","."
"Marketing Research","001
710","36","3.486","33.3","38.9","22.2","2.8","2.8",".",".",".",".",".",".",".",".",".",".","."
"Marketing Communications","715
001","31","3.694","54.8","29.0","16.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Channels","725
001","42","3.451","31.0","33.3","26.2","7.1",".",".",".","2.4",".",".",".",".",".",".",".","."
"Seminar-Supply Chain Managemnt","726
001","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765
002","20","3.800","65.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
052","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
120","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","131
799","27","4.000","96.3",".",".",".",".",".",".","3.7",".",".",".",".",".",".",".","."
