"","JOURN AND MASS COMMUNICA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"Intro to Mass Communication","201","001","399","3.229","18.3","34.3","28.6","13.5","3.3","1.0","0.3","0.3",".",".",".",".",".","0.5",".","."
"","205","001","13","3.462","15.4","61.5","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","205","002","13","3.423","15.4","61.5","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","205","003","15","3.267","20.0","40.0","20.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"","205","004","17","3.441","29.4","47.1","11.8","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","205","005","15","3.000","20.0","13.3","46.7","13.3",".",".","6.7",".",".",".",".",".",".",".",".","."
"Newswriting and Reporting","","Course Total","73","3.315","20.5","43.8","23.3","8.2","2.7",".","1.4",".",".",".",".",".",".",".",".","."
"","230","001","15","3.533","33.3","40.0","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","230","002","10","3.500","40.0","30.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Newspaper Editing","","Course Total","25","3.520","36.0","36.0","24.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Advertising","246","001","251","3.396","29.1","32.3","31.5","4.8","1.6","0.8",".",".",".",".",".",".",".",".",".","."
"Reporting of Public Affairs","301","001","13","3.423","23.1","38.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interpatn Contemp Affairs","304","001","18","3.139","50.0","5.6","22.2","11.1",".",".","11.1",".",".",".",".",".",".",".",".","."
"","305","001","14","3.536","21.4","64.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305","002","15","3.300","26.7","26.7","33.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Writing of Feature Articles","","Course Total","29","3.414","24.1","44.8","24.1","3.4","3.4",".",".",".",".",".",".",".",".",".",".","."
"Science & Technology Journ","315","001","15","3.133","13.3","33.3","33.3","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"Public Relations Practices","325","001","70","3.449","30.0","41.4","21.4","4.3",".",".","1.4",".",".",".",".",".",".",".","1.4","."
"Intro to Broadcast News","351","001","19","3.737","63.2","21.1","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Television News","352","001","19","3.632","36.8","52.6","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advertising Copy and Layout","450","001","64","3.516","26.6","50.0","23.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","454","001","16","3.433","18.8","43.8","31.3",".",".",".",".",".",".",".",".",".",".","6.3",".","."
"","454","002","22","3.955","95.5",".","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Promotional Campaigns","","Course Total","38","3.743","63.2","18.4","15.8",".",".",".",".",".",".",".",".",".",".","2.6",".","."
"Advertising Media Planning","459","001","52","3.625","65.4","11.5","15.4","5.8",".",".","1.9",".",".",".",".",".",".",".",".","."
"Magazines&Magazine Editing","517","001","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Relations Campaigns","525","001","39","3.603","46.2","33.3","15.4","5.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Survey Research","544","001","14","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Law of Mass Communication","559","001","116","2.700","11.2","13.8","29.3","18.1","15.5","10.3","0.9",".",".",".",".",".",".","0.9",".","."
"Hist of Mass Communication","560","001","95","2.989","13.7","14.7","44.2","14.7","10.5","2.1",".",".",".",".",".",".",".",".",".","."
"Mass Media and Minorities","562","001","30","3.304","26.7","30.0","13.3","20.0","3.3",".",".","6.7",".",".",".",".",".",".",".","."
"Communicatn&Public Opinion","614","001","61","3.221","18.0","31.1","36.1","9.8","3.3","1.6",".",".",".",".",".",".",".",".",".","."
"Mass Media and Youth","616","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Hlth Communication-Info Age","617","001","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Communication Rsch Methods","658","001","39","3.474","41.0","25.6","23.1","7.7","2.6",".",".",".",".",".",".",".",".",".",".","."
"","681","033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","048","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Senior Honors Thesis","682","024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","691","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 234 of 388",""
