"","","Grades","GPA","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","",""
"","990
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research","Course Total","7","",".",".",".",".",".",".",".","71.4",".",".",".","28.6",".",".",".","."
"ITALIAN
508","Dept. Total","599","3.308","32.9","22.0","24.0","9.2","4.8","0.8","1.0","4.0","0.2",".",".","0.3","0.2","0.3","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","",""
"Freshmen","","113","3.250","31.9","17.7","32.7","10.6","3.5","0.9","1.8",".","0.9",".",".",".",".",".",".","."
"Sophomore","","142","3.169","25.4","26.1","26.8","12.0","6.3","1.4","2.1",".",".",".",".",".",".",".",".","."
"Junior","","126","3.278","32.5","22.2","25.4","9.5","6.3","1.6","0.8","0.8",".",".",".",".",".",".","0.8","."
"Senior","","149","3.410","35.6","25.5","23.5","6.7","5.4",".",".","2.7",".",".",".",".",".","0.7",".","."
"Undergraduates","","530","3.278","31.3","23.2","26.8","9.6","5.5","0.9","1.1","0.9","0.2",".",".",".",".","0.2","0.2","."
"Special","","14","3.790","42.9","7.1",".","7.1",".",".",".","42.9",".",".",".",".",".",".",".","."
"Graduate","","55","3.724","45.5","14.5","3.6","5.5",".",".",".","23.6",".",".",".","3.6","1.8","1.8",".","."
"","Dept. Total","599","3.308","32.9","22.0","24.0","9.2","4.8","0.8","1.0","4.0","0.2",".",".","0.3","0.2","0.3","0.2","."
