"LAFOLLETTE SCHOOL PUB AFF Section","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","","","","","","",""
"530
001
Ethics&Values-Policy Making","4","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"551
001
Quantitative Anal-Pol Data","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"734
001
Regional Econ Prob Analysis","4","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"765
001
Issues in Educ Policy Analysis","3","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"799
002","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"799
010","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Course Total
Independent Reading","2","***","","","","","","","","","","","","","","","","","","","","","","",""
"827
001
Administrative Internship","2","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"871
001
Public Program Evaluation","16","3.813","62.5","37.5",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"001
875
Public Personnel Adm","23","3.804","78.3","8.7","8.7","4.3",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"878
001
Public Management","27","3.630","44.4","37.0","18.5",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"880
001
Microecon Policy Analysis","35","3.343","22.9","40.0","20.0","17.1",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"974
001","23","3.239","26.1","26.1","21.7","21.7","4.3",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"974
003","11","3.773","63.6","27.3","9.1",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"Course Total
Topics in Public Affairs","34","3.412","38.2","26.5","17.6","14.7","2.9","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"PUB AFFR
Dept. Total
826","151","3.576","47.0","30.5","13.9","7.9","0.7","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","1","3.500",".","100.0",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","1","3.500",".","100.0",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","6","3.667","50.0","33.3","16.7",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","138","3.591","48.6","29.7","13.8","7.2","0.7","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","6","3.167","16.7","33.3","16.7","33.3",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","6","3.167","16.7","33.3","16.7","33.3",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Dept. Total","151","3.576","47.0","30.5","13.9","7.9","0.7","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
