"PHYSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","",""
"Research","Course Total","85","",".",".",".",".",".",".",".","94.1",".",".",".","5.9",".",".",".","."
"PHYSICS
754","Dept. Total","2469","2.964","19.6","17.3","26.9","14.4","15.6","1.7","0.7","3.4",".",".",".","0.2","0.0","0.1","0.1","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","",""
"Freshmen","","167","2.824","19.2","13.2","25.1","18.6","16.8","3.0","3.0",".",".",".",".",".","0.6","0.6",".","."
"Sophomore","","787","2.824","14.5","14.4","30.0","16.5","21.3","2.3","1.0",".",".",".",".",".",".",".",".","."
"Junior","","870","3.015","19.1","21.1","27.5","15.7","14.8","1.1","0.5","0.1",".",".",".",".",".",".",".","."
"Senior","","385","3.059","26.2","17.1","26.2","12.5","14.8","2.1",".","0.3",".",".",".",".",".",".","0.5","0.3"
"Undergraduates","","2209","2.935","18.7","17.4","28.0","15.7","17.3","1.9","0.8","0.1",".",".",".",".","0.0","0.0","0.1","0.0"
"Special","","35","3.171","25.7","28.6","20.0","11.4","8.6",".","2.9",".",".",".",".",".",".","2.9",".","."
"Graduate","","227","3.513","27.8","13.7","16.7","2.2","0.4","0.4",".","36.6",".",".",".","2.2",".",".",".","."
"","Dept. Total","2471","2.964","19.6","17.2","26.8","14.4","15.6","1.7","0.7","3.4",".",".",".","0.2","0.0","0.1","0.1","0.0"
