"COMMUNICATION ARTS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","",""
"","100
049","14","2.964","28.6","7.1","35.7","14.3","7.1",".","7.1",".",".",".",".",".",".",".",".","."
"","100
051","12","3.083","16.7","25.0","25.0","25.0","8.3",".",".",".",".",".",".",".",".",".",".","."
"","100
052","12","2.833",".","25.0","58.3","8.3",".",".","8.3",".",".",".",".",".",".",".",".","."
"","053
100","6","2.917","33.3","33.3",".","16.7",".",".","16.7",".",".",".",".",".",".",".",".","."
"","100
055","12","3.500","50.0","16.7","25.0",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","100
056","13","3.154","30.8","23.1","23.1","7.7","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"","100
057","12","3.167","16.7","58.3","8.3","8.3",".",".","8.3",".",".",".",".",".",".",".",".","."
"","058
100","12","2.591",".","16.7","50.0","8.3",".","8.3","8.3","8.3",".",".",".",".",".",".",".","."
"","100
060","13","2.962",".","30.8","38.5","23.1","7.7",".",".",".",".",".",".",".",".",".",".","."
"","100
061","13","3.000",".","38.5","30.8","23.1","7.7",".",".",".",".",".",".",".",".",".",".","."
"","100
062","13","3.077",".","38.5","38.5","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"","100
063","12","3.167",".","41.7","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Speech Composition","Course Total","785","3.230","20.9","33.6","30.7","8.4","3.4","0.9","1.8","0.1",".",".",".",".",".",".","0.1","."
"","105
001","11","3.000",".","63.6","18.2","9.1",".",".","9.1",".",".",".",".",".",".",".",".","."
"","105
002","14","3.321","21.4","35.7","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","105
003","15","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
105","16","3.700","56.3","18.8","18.8",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","105
005","17","2.441","11.8","23.5","11.8","17.6","17.6",".","17.6",".",".",".",".",".",".",".",".","."
"","105
006","14","3.357","35.7","35.7","14.3","7.1",".","7.1",".",".",".",".",".",".",".",".",".","."
"","105
007","17","3.324","23.5","47.1","5.9","17.6","5.9",".",".",".",".",".",".",".",".",".",".","."
"","008
105","15","3.200","33.3","6.7","33.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"","009
105","14","3.071","14.3","50.0","7.1","21.4",".",".","7.1",".",".",".",".",".",".",".",".","."
"Public Speaking","Course Total","133","3.220","27.1","34.6","17.3","12.0","3.8","0.8","3.8","0.8",".",".",".",".",".",".",".","."
"Elements of Speech-Honors","181
001","9","3.500","55.6","11.1","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","199
029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","250
001","218","2.961","11.0","22.0","38.5","15.1","9.2","1.8","1.8",".",".",".",".",".",".","0.5",".","."
"","250
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Radio,TV&Film as Mass Media","Course Total","219","2.966","11.4","21.9","38.4","15.1","9.1","1.8","1.8",".",".",".",".",".",".","0.5",".","."
"Communication & Human Behav","260
001","154","3.130","26.6","24.7","24.0","9.1","11.7","1.9","1.9",".",".",".",".",".",".",".",".","."
"","262
005","19","3.395","36.8","21.1","26.3","15.8",".",".",".",".",".",".",".",".",".",".",".","."
"","006
262","202","3.040","16.3","27.7","24.3","17.8","9.9","3.0","0.5","0.5",".",".",".",".",".",".",".","."
"Thry&Pract-Argument&Debate","Course Total","221","3.070","18.1","27.1","24.4","17.6","9.0","2.7","0.5","0.5",".",".",".",".",".",".",".","."
"Thry&Pract-Group Discussion","001
266","237","3.283","26.2","35.0","22.8","9.7","3.8","0.8","1.7",".",".",".",".",".",".",".",".","."
"Intro-Interpersonal Com","272
001","136","3.101","19.1","29.4","27.2","12.5","5.9","1.5","2.9","1.5",".",".",".",".",".",".",".","."
"","350
001","181","3.149","14.9","28.7","39.2","11.6","2.8","0.6","1.7","0.6",".",".",".",".",".",".",".","."
"","002
350","58","2.793","6.9","20.7","36.2","20.7","6.9","5.2","3.4",".",".",".",".",".",".",".",".","."
"Introduction to Film","Course Total","239","3.063","13.0","26.8","38.5","13.8","3.8","1.7","2.1","0.4",".",".",".",".",".",".",".","."
"Introduction to Television","001
351","169","3.089","8.3","35.5","36.1","11.8","6.5","0.6","1.2",".",".",".",".",".",".",".",".","."
"Hist of the Motion Picture","352
001","85","2.802","8.2","14.1","35.3","18.8","14.1","3.5","1.2","3.5",".",".",".",".",".","1.2",".","."
"Film Styles and Genres","354
001","97","2.948","11.3","21.6","25.8","29.9","8.2","2.1",".","1.0",".",".",".",".",".",".",".","."
"Intro to Video Production","355
001","129","3.372","15.5","55.8","19.4","7.8","0.8","0.8",".",".",".",".",".",".",".",".",".","."
"History of Documentary Film","358
001","21","2.881","33.3","19.0","14.3","4.8","14.3","4.8","9.5",".",".",".",".",".",".",".",".","."
"Quantitatve Rsch-Communictn","361
001","29","3.379","31.0","31.0","27.6","3.4","6.9",".",".",".",".",".",".",".",".",".",".","."
