"MUSIC","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","","",""
"579
Masters Singers","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"59
University Chorus","001","","108","4.000","99.1",".",".",".",".",".",".","0.9",".",".",".",".",".",".",".","."
"60
All-Univ String Orchestra","001","","168","3.982","99.4",".",".",".",".","0.6",".",".",".",".",".",".",".",".",".","."
"61
Chamber Orchestra","001","","34","4.000","97.1",".",".",".",".",".",".",".",".",".",".",".",".","2.9",".","."
"619
Music Resrch Mthds & Matls","001","","12","3.500","66.7","16.7","8.3",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"62
Univ Symphony Orchestra","001","","73","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"623
Form and Analysis","001","","15","3.898","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"716
Smr: Music Instrumnts-World","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"726
Cmptrs in Music Research 1","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"767
Adv Probs-Singing Diction","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"792
Seminar in Vocal Literature","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"798","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"798","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Instrumental Literature","Course Total","","5","***","","","","","","","","","","","","","","","",""
"799","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","20","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","751","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","","11","4.000","54.5",".",".",".",".",".",".","45.5",".",".",".",".",".",".",".","."
"821
Historical Music Theories 1","001","","14","3.750","57.1","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"911
Seminar in Musicology","001","","17","3.853","70.6","29.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"925
Topics in Music Analysis 1","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","112","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Masters Thesis","Course Total","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"999","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"999","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","029","","7","",".",".",".",".",".",".",".","85.7",".",".",".","14.3",".",".",".","."
