"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","38","3.658","89.5",".","2.6",".",".",".","7.9",".",".",".",".",".",".",".",".","."
"","160
001","17","2.941","35.3","11.8","23.5",".","11.8","17.6",".",".",".",".",".",".",".",".",".","."
"","160
002","20","3.325","45.0","15.0","25.0","10.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"","160
003","23","3.261","39.1","26.1","4.3","8.7","21.7",".",".",".",".",".",".",".",".",".",".","."
"Architectural Graphics","Course Total","60","3.192","40.0","18.3","16.7","6.7","11.7","5.0","1.7",".",".",".",".",".",".",".",".","."
"","170
001","18","3.528","50.0","27.8","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","170
002","20","3.575","55.0","25.0","5.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","170
003","21","3.786","66.7","28.6",".","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Civil Engineering Graphics","Course Total","59","3.636","57.6","27.1","5.1","5.1","5.1",".",".",".",".",".",".",".",".",".",".","."
"Intro Engineering Graphics","231
001","117","3.189","23.1","26.5","22.2","18.8","5.1","1.7",".","0.9",".",".",".",".",".","1.7",".","."
"Geom Modeling-Engr Applcatn","232
001","89","3.119","25.8","14.6","39.3","11.2","3.4","1.1","3.4","1.1",".",".",".",".",".",".",".","."
"","240
001","25","2.560","8.0","16.0","16.0","24.0","28.0","4.0","4.0",".",".",".",".",".",".",".",".","."
"","240
003","20","2.500","25.0","10.0","20.0",".","25.0","5.0","15.0",".",".",".",".",".",".",".",".","."
"","240
004","17","2.265","11.8","5.9","11.8","11.8","47.1",".","11.8",".",".",".",".",".",".",".",".","."
"","240
005","17","2.794","17.6","17.6","23.5","11.8","23.5",".","5.9",".",".",".",".",".",".",".",".","."
"Dynamics","Course Total","79","2.532","15.2","12.7","17.7","12.7","30.4","2.5","8.9",".",".",".",".",".",".",".",".","."
"","291
006","17","3.559","47.1","17.6","35.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","291
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","291
050","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergrad Mech Engr Project","Course Total","20","3.674","55.0","15.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
050","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","5","***","","","","","","","","","","","","","","","",""
"","306
001","20","2.525","15.0","15.0","20.0",".","35.0","10.0","5.0",".",".",".",".",".",".",".",".","."
"","306
003","19","2.816","10.5","26.3","26.3","10.5","15.8","10.5",".",".",".",".",".",".",".",".",".","."
"","004
306","23","2.773","13.0","13.0","26.1","13.0","26.1","4.3",".",".",".",".",".",".",".","4.3",".","."
"","306
005","19","2.868","10.5","15.8","26.3","31.6","15.8",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","81","2.744","12.3","17.3","24.7","13.6","23.5","6.2","1.2",".",".",".",".",".",".","1.2",".","."
"","001
307","12","3.208","33.3","25.0","25.0",".","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"","307
002","9","3.556","44.4","22.2","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
003","9","2.944",".","44.4",".","55.6",".",".",".",".",".",".",".",".",".",".",".","."
"","004
307","6","3.417","33.3","16.7","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
005","15","3.067","20.0","20.0","26.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".","."
"","006
307","16","3.281","31.3","18.8","31.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"","007
307","18","3.417","33.3","22.2","38.9","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","307
008","13","3.000","15.4","7.7","46.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","98","3.230","26.5","21.4","31.6","14.3","5.1","1.0",".",".",".",".",".",".",".",".",".","."
"","313
001","37","3.176","8.1","43.2","32.4","13.5",".","2.7",".",".",".",".",".",".",".",".",".","."
"","313
002","35","3.214","8.6","34.3","48.6","8.6",".",".",".",".",".",".",".",".",".",".",".","."
"","313
003","37","3.189","8.1","48.6","29.7","5.4","5.4","2.7",".",".",".",".",".",".",".",".",".","."
"Manufacturing Processes","Course Total","109","3.193","8.3","42.2","36.7","9.2","1.8","1.8",".",".",".",".",".",".",".",".",".","."
"","001
314","32","2.750","6.3","18.8","25.0","18.8","31.3",".",".",".",".",".",".",".",".",".",".","."
"","314
002","32","2.375",".","6.3","18.8","37.5","31.3","3.1","3.1",".",".",".",".",".",".",".",".","."
"","314
003","22","2.690",".","18.2","22.7","31.8","22.7",".",".",".",".",".",".",".",".",".",".","4.5"
