"ENVIR ST - GAYLORD NELSON I","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"990","199","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","208","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","209","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","210","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","211","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","217","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","72","",".",".",".",".",".",".",".","70.8",".",".",".","29.2",".",".",".","."
"999","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","186","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","194","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
