"","960
001","","3","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","960
002","","3","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Wrkshp Ind Rel Rsch","Course Total","","6","3.667","33.3",".","16.7",".",".","",".",".","50.0","",".",".","",".",".",".",".",".","."
"Research and Thesis","990
009","","3","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"IND REL
492","Dept. Total","","83","3.510","38.6","24.1","20.5",".","2.4","",".","1.2","7.2","",".",".","",".","2.4","2.4",".","1.2","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","",""
"492
IND REL","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","1","0.000",".",".",".",".",".","",".","100.0",".","",".",".","",".",".",".",".",".","."
"Junior","","","2","3.500","50.0",".","50.0",".",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Senior","","","9","3.111","11.1","22.2","55.6",".","11.1","",".",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","","12","2.917","16.7","16.7","50.0",".","8.3","",".","8.3",".","",".",".","",".",".",".",".",".","."
"Special","","","7","3.400","28.6","28.6",".",".","14.3","",".",".",".","",".",".","",".",".","14.3",".","14.3","."
"Graduate","","","64","3.654","43.8","25.0","17.2",".",".","",".",".","9.4","",".",".","",".","3.1","1.6",".",".","."
"","Dept. Total","","83","3.510","38.6","24.1","20.5",".","2.4","",".","1.2","7.2","",".",".","",".","2.4","2.4",".","1.2","."
