"LATIN (CLASSICS)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"524
LATIN","","","","","","","","","","","","","","","","","","",""
"","103
001","19","3.211","57.9","10.5","10.5",".","5.3","10.5","5.3",".",".",".",".",".",".",".",".","."
"","103
002","11","3.722","45.5","27.3","9.1",".",".",".",".","9.1",".",".",".",".",".","9.1",".","."
"","103
003","22","3.477","45.5","22.7","22.7",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","103
004","23","3.522","43.5","26.1","21.7","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"","103
005","22","3.227","45.5","4.5","13.6","22.7","13.6",".",".",".",".",".",".",".",".",".",".","."
"","103
006","19","3.528","42.1","31.6","5.3","15.8",".",".",".",".","5.3",".",".",".",".",".",".","."
"Elementary Latin","Course Total","116","3.420","46.6","19.8","14.7","8.6","5.2","1.7","0.9","0.9","0.9",".",".",".",".","0.9",".","."
"","203
001","20","3.475","40.0","30.0","20.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","203
002","12","3.364","25.0","41.7","8.3","8.3","8.3",".",".","8.3",".",".",".",".",".",".",".","."
"","203
003","16","3.500","43.8","37.5","6.3",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Latin","Course Total","48","3.457","37.5","35.4","12.5","4.2","8.3",".",".","2.1",".",".",".",".",".",".",".","."
"Latin Lit of Roman Republic","301
001","8","3.286","12.5","50.0",".","25.0",".",".",".",".",".",".",".",".",".",".","12.5","."
"Latin Poetry","519
001","11","3.650","45.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","9.1"
"Latin Hist Writers","001
539","14","3.773","64.3","7.1",".",".","7.1",".",".","7.1",".",".",".",".",".","14.3",".","."
"Mediaeval Latin","563
001","8","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","691
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
011","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
014","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Individual Research Thesis","890
014","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Related Fields","970
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"LATIN
524","Dept. Total","220","3.476","46.4","23.2","12.3","6.4","5.0","0.9","0.5","2.7","0.5",".",".",".",".","1.4","0.5","0.5"
