"OBSTETRICS AND GYNECOLOG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"436
OBS&GYN","","","","","","","","","","","","","","","","","","","",""
"699
Directed Study","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"812","001","","16","3.063","6.3","31.3","43.8","6.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"812","002","","16","3.534","18.8","62.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","6.3"
"812","003","","19","3.605","36.8","52.6","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"812","004","","19","3.447","26.3","36.8","36.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"3rd Year Obs & Gynecology","Course Total","","70","3.420","22.9","45.7","22.9","4.3","2.9",".",".",".",".",".",".",".",".",".",".","1.4"
"819
Individualized 3rd Yr Clerk","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","8","3.800","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"921
Gynecol Oncology Clerk-CSC","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922
Inpt-Outpt Clerk-Marshfield","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"923","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"923","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Perinatal Clerkship-Milw","Course Total","","2","***","","","","","","","","","","","","","","","",""
"925","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"High Risk Obst Clrk-Meriter","Course Total","","4","***","","","","","","","","","","","","","","","",""
"990","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","10","4.000","90.0",".",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
