"BIOLOGICAL SYSTEMS ENGINE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"112
BSE","","","","","","","","","","","","","","","","","","",""
"Surveying Fundamentals","201
001","37","2.865","16.2","10.8","32.4","10.8","29.7",".",".",".",".",".",".",".",".",".",".","."
"Field Applicatns-Surveying","202
001","28","2.722","10.7","10.7","21.4","21.4","32.1",".",".",".",".",".",".",".",".",".","3.6","."
"Engr Principles-Biol Systms","249
001","24","3.292","37.5","29.2","12.5","12.5","4.2",".","4.2",".",".",".",".",".",".",".",".","."
"Independent Study","299
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Principles of Ag Machinery","361
001","12","3.167","16.7","25.0","33.3","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Engr Prop-Food & Biol Matls","364
001","16","2.219",".","6.3","18.8","25.0","37.5","6.3","6.3",".",".",".",".",".",".",".",".","."
"On-Site Waste Water Treatment","372
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","375
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Irrigatn&Drainage Sys Dsgn","473
001","15","2.893","13.3","6.7","33.3","26.7","13.3",".",".",".",".",".",".",".",".",".","6.7","."
"Fundmntl-Biol&Ag Engr Desgn","001
501","15","3.300","53.3","6.7","20.0","13.3",".",".","6.7",".",".",".",".",".",".",".",".","."
"Food & Phmaceut Separations","642
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","875
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar","900
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
014","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
018","7","",".",".",".",".",".",".",".","57.1",".",".",".","42.9",".",".",".","."
"","990
019","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
021","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","18","",".",".",".",".",".",".",".","66.7",".",".",".","33.3",".",".",".","."
"Special Problems","999
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"BSE
112","Dept. Total","179","2.992","20.1","13.4","21.2","14.5","16.8","0.6","1.7","6.7",".",".",".","3.4","0.6",".","1.1","."
