"ALS","","","","","","","","","","","","","","","","","","","",""
"INTERDIS COURSES (C A L S)","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"494
INTER-AG","","","","","","","","","","","","","","","","","","","",""
"Ways of Knowing","150
001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Research Experience","250
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Undergrad Research","288
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","875
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"INTER-AG
494","Dept. Total","","49","3.916","93.9","4.1",".",".","2.0",".",".",".",".",".",".",".",".",".",".","."
