"COUNSELING PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","",""
"","105
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
105","13","3.846","92.3",".",".",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Human Dev; Awareness Proc","Course Total","25","3.920","96.0",".",".",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"Human Dev:Career Strategies","001
110","15","4.000","93.3",".",".",".",".",".",".",".",".",".",".",".",".",".",".","6.7"
"","115
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
002","18","3.750","66.7","5.6","11.1","5.6",".",".",".",".",".",".",".",".",".","11.1",".","."
"","115
003","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
007","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
008","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
009","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
010","17","3.588","64.7","11.8","11.8",".","11.8",".",".",".",".",".",".",".",".",".",".","."
"","115
011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
012","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
013","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
014","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
015","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Dev: Ed Effectiveness","Course Total","102","3.864","85.3","3.9","3.9","1.0","2.9",".",".",".",".",".",".",".",".","2.0",".","1.0"
"","001
620","13","4.000","92.3",".",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","620
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics-Cnslg & Guidnce","Course Total","14","4.000","85.7",".",".",".",".",".",".","7.1",".",".",".",".","7.1",".",".","."
"Theory & Prac-Interviewing","650
001","130","3.938","87.7","10.8","0.8",".",".",".",".","0.8",".",".",".",".",".",".",".","."
"Career Dev Through Life Spn","665
001","22","3.841","77.3","13.6","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","3","***","","","","","","","","","","","","","","","",""
"Theories of Counseling","800
001","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assess Tech for Counselors","801
001","26","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tech&Microskills-Counselors","805
001","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","807
001","6","3.875","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","807
002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","807
003","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","807
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","807
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Suprvsd Pract-Counseling II","Course Total","24","3.950","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Master Intrshp-Cnslg & Guid","810
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Csnlg Psych Tech-Families","001
825","29","3.879","79.3","17.2","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consultation Proc-Counselor","850
001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multicultural Counseling","860
001","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","900
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","900
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","900
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","900
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 82 of 388"
