"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"LAW","","","","","","","","","","","","","","","","","","",""
"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"","726
005","31","3.532","32.3","41.9","25.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","726
006","101","3.515","36.6","30.7","31.7","1.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Substan Criminal Law","Course Total","311","3.494","39.5","23.5","33.4","3.2",".","0.3",".",".",".",".",".",".",".",".",".","."
"Federal Law & Indian Tribes","730
001","22","3.750","50.0","36.4","4.5",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"","731
001","31","3.403","35.5","16.1","45.2",".",".","3.2",".",".",".",".",".",".",".",".",".","."
"","731
002","91","3.521","30.8","26.4","17.6","3.3","1.1",".",".","20.9",".",".",".",".",".",".",".","."
"Constitutional Law I","Course Total","122","3.485","32.0","23.8","24.6","2.5","0.8","0.8",".","15.6",".",".",".",".",".",".",".","."
"Real Estate Transactions I","732
001","45","3.181","40.0","8.9","15.6","2.2",".","8.9","4.4","20.0",".",".",".",".",".",".",".","."
"Trusts and Estates","733
001","116","3.516","34.5","25.9","14.7","1.7","0.9","2.6",".","19.8",".",".",".",".",".",".",".","."
"Marital Property","734
001","18","3.639","61.1","11.1","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Secured Transactions","736
001","24","3.700","54.2","8.3","20.8",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Constitutional Law II","740
002","72","3.130","25.0","13.9","20.8","5.6","2.8","2.8","4.2","23.6",".",".",".",".",".",".","1.4","."
"","742
002","41","3.500","34.1","14.6","17.1",".",".",".","2.4","29.3",".",".",".",".",".",".","2.4","."
"","742
003","32","3.304","28.1","15.6","18.8","3.1","3.1",".","3.1","28.1",".",".",".",".",".",".",".","."
"Taxation I","Course Total","73","3.412","31.5","15.1","17.8","1.4","1.4",".","2.7","28.8",".",".",".",".",".",".","1.4","."
"Labor Relations Law","745
001","55","3.622","54.5","12.7","20.0",".",".",".","1.8","10.9",".",".",".",".",".",".",".","."
"Antitrust","748
001","21","3.643","38.1","9.5","19.0",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"Patent Law","751
001","17","3.429","47.1","11.8","17.6",".",".",".","5.9","17.6",".",".",".",".",".",".",".","."
"Copyright Law","752
001","49","3.561","38.8","16.3","28.6",".",".",".",".","16.3",".",".",".",".",".",".",".","."
"Equal Employment Law","765
001","20","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
001","93","3.341","43.0","7.5","30.1","1.1","5.4","3.2","1.1","8.6",".",".",".",".",".",".",".","."
"","801
002","134","3.388","38.8","18.7","26.1","1.5","2.2","6.0",".","6.7",".",".",".",".",".",".",".","."
"Evidence","Course Total","227","3.369","40.5","14.1","27.8","1.3","3.5","4.8","0.4","7.5",".",".",".",".",".",".",".","."
"","802
001","42","3.476","35.7","23.8","40.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","802
002","64","3.509","34.4","23.4","29.7","1.6",".",".",".","10.9",".",".",".",".",".",".",".","."
"Civil Procedure II","Course Total","106","3.495","34.9","23.6","34.0","0.9",".",".",".","6.6",".",".",".",".",".",".",".","."
"Administrative Advocacy","813
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","815
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
815","7","4.000","14.3",".",".",".",".",".",".","85.7",".",".",".",".",".",".",".","."
"Appellate Advocacy II","Course Total","15","4.000","60.0",".",".",".",".",".",".","40.0",".",".",".",".",".",".",".","."
"","001
817","38","3.179","31.6","15.8","15.8",".",".","5.3","5.3","26.3",".",".",".",".",".",".",".","."
"","817
002","47","3.488","42.6","17.0","23.4","2.1","2.1","2.1",".","10.6",".",".",".",".",".",".",".","."
"Business Organizations I","Course Total","85","3.364","37.6","16.5","20.0","1.2","1.2","3.5","2.4","17.6",".",".",".",".",".",".",".","."
"Comparative Law","818
001","18","3.633","61.1","5.6","11.1",".",".","5.6",".","16.7",".",".",".",".",".",".",".","."
"Creditors & Debtors Rights","821
001","36","3.500","38.9","11.1","27.8","5.6",".",".",".","16.7",".",".",".",".",".",".",".","."
"Family Law I","822
001","34","3.424","44.1","17.6","23.5","5.9","2.9","2.9",".","2.9",".",".",".",".",".",".",".","."
"International Law","827
001","25","3.525","36.0","12.0","32.0",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"Jurisprudence","829
001","14","3.429","50.0","35.7",".","7.1",".",".","7.1",".",".",".",".",".",".",".",".","."
"Mod American Legal History","831
001","59","3.589","37.3","16.9","20.3","1.7",".",".",".","23.7",".",".",".",".",".",".",".","."
"Taxation II","840
001","16","3.731","50.0","18.8","12.5",".",".",".",".","18.8",".",".",".",".",".",".",".","."
"Unfair Trade Practices","843
001","17","3.588","47.1","23.5","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Taxation of Trusts&Estates","844
001","17","3.688","29.4","5.9","11.8",".",".",".",".","52.9",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 316 of 388",""
