"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"","330
001","47","2.674","8.5","19.1","27.7","14.9","17.0","6.4","4.3","2.1",".",".",".",".",".",".",".","."
"","330
002","55","2.773","12.7","18.2","16.4","23.6","27.3",".","1.8",".",".",".",".",".",".",".",".","."
"Signals and Systems","Course Total","102","2.728","10.8","18.6","21.6","19.6","22.5","2.9","2.9","1.0",".",".",".",".",".",".",".","."
"Intro-Random Sig Anal&Stats","331
001","32","3.172","28.1","18.8","21.9","21.9","9.4",".",".",".",".",".",".",".",".",".",".","."
"Feedback Control Systems","332
001","49","2.594","4.1","24.5","14.3","14.3","34.7","4.1","2.0",".",".",".",".",".",".",".","2.0","."
"","335
001","42","2.857","19.0","19.0","16.7","19.0","19.0","7.1",".",".",".",".",".",".",".",".",".","."
"","002
335","57","2.921","19.3","22.8","14.0","24.6","14.0","3.5","1.8",".",".",".",".",".",".",".",".","."
"Microelectronic Devices","Course Total","99","2.894","19.2","21.2","15.2","22.2","16.2","5.1","1.0",".",".",".",".",".",".",".",".","."
"Electronic Circuits I","340
001","98","3.020","19.4","14.3","39.8","12.2","10.2","4.1",".",".",".",".",".",".",".",".",".","."
"","342
001","61","2.541","19.7","9.8","23.0","9.8","19.7","8.2","9.8",".",".",".",".",".",".",".",".","."
"","342
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Electronic Circuits II","Course Total","62","2.532","19.4","9.7","22.6","9.7","21.0","8.1","9.7",".",".",".",".",".",".",".",".","."
"","350
001","16","3.813","68.8","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
350","15","3.767","53.3","46.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","350
004","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professional Expression","Course Total","46","3.826","67.4","30.4","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
351","14","3.214","14.3","35.7","28.6","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"","351
002","11","3.636","54.5","27.3","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","351
003","14","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","351
004","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
351","14","3.714","64.3","21.4","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","351
007","13","3.615","38.5","46.2","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Logic Laboratory","Course Total","75","3.567","41.3","37.3","14.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","352
001","74","2.719","17.6","10.8","24.3","17.6","18.9","5.4","4.1","1.4",".",".",".",".",".",".",".","."
"","352
002","46","2.750","10.9","17.4","19.6","28.3","19.6","2.2","2.2",".",".",".",".",".",".",".",".","."
"Digital System Fundamentals","Course Total","120","2.731","15.0","13.3","22.5","21.7","19.2","4.2","3.3","0.8",".",".",".",".",".",".",".","."
"Intro to Microprocessor Sys","001
353","53","2.731","11.3","20.8","17.0","20.8","22.6","1.9","3.8",".",".",".",".",".",".",".","1.9","."
"","354
001","15","3.000","20.0","20.0","33.3","6.7","13.3","6.7",".",".",".",".",".",".",".",".",".","."
"","354
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","354
004","8","3.188",".","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","Course Total","27","2.981","11.1","29.6","33.3","11.1","7.4","7.4",".",".",".",".",".",".",".",".",".","."
"","355
001","17","2.882","17.6","17.6","29.4","5.9","23.5","5.9",".",".",".",".",".",".",".",".",".","."
"","355
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","355
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Electromech Energy Conversn","Course Total","23","2.727","17.4","13.0","21.7","13.0","21.7","4.3","4.3",".",".",".",".",".","4.3",".",".","."
"","370
001","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
002","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
003","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
004","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
005","12","3.750","75.0","8.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","370
006","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
007","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Laboratory","Course Total","81","3.895","82.7","14.8","1.2","1.2",".",".",".",".",".",".",".",".",".",".",".","."
"","001
376","75","3.158","26.7","25.3","14.7","16.0","13.3","1.3",".","2.7",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 114 of 388",""
