"BOTANY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","","",""
"Plants, Parasites, & People","123","001","116","3.289","37.1","25.9","19.0","7.8","5.2","3.4","1.7",".",".",".",".",".",".",".",".","."
"General Botany","130","001","167","2.946","18.0","10.8","41.9","6.0","21.6","1.2","0.6",".",".",".",".",".",".",".",".","."
"","151","001","22","3.000","22.7","18.2","36.4","9.1",".","13.6",".",".",".",".",".",".",".",".",".","."
"","151","002","13","3.346","38.5","15.4","30.8","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","","Course Total","35","3.129","28.6","17.1","34.3","8.6","2.9","8.6",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","152","001","18","2.667","16.7","11.1","11.1","22.2","33.3","5.6",".",".",".",".",".",".",".",".",".","."
"Heredity","160","001","11","2.273","9.1","9.1","18.2","9.1","36.4","9.1","9.1",".",".",".",".",".",".",".",".","."
"Plants and Man","240","001","106","2.875","19.8","8.5","37.7","3.8","23.6","2.8","1.9","1.9",".",".",".",".",".",".",".","."
"Introductory Ecology","260","001","90","3.050","26.7","7.8","38.9","4.4","18.9","2.2",".",".",".",".",".",".",".","1.1",".","."
"Plant Anatomy","300","001","20","3.025","25.0","5.0","45.0","10.0","10.0","5.0",".",".",".",".",".",".",".",".",".","."
"Structural Plant Development","310","001","8","3.429","37.5",".","50.0",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Algae","330","001","13","4.000","84.6",".",".",".",".",".",".","15.4",".",".",".",".",".",".",".","."
"Intro to Plant Physiology","350","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Plant Systematics","400","001","59","3.559","62.7","3.4","27.1","3.4",".","3.4",".",".",".",".",".",".",".",".",".","."
"","402","001","9","2.625",".","11.1","11.1","55.6","11.1",".",".","11.1",".",".",".",".",".",".",".","."
"","402","002","8","3.571","37.5","25.0","25.0",".",".",".",".",".",".",".",".",".",".","12.5",".","."
"Dendrology","","Course Total","17","3.067","17.6","17.6","17.6","29.4","5.9",".",".","5.9",".",".",".",".",".","5.9",".","."
"Field Collectns&Identifictn","403","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Tropical Plant Diversity","430","001","19","3.526","36.8","42.1","15.8",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"The Vegetation of Wisconsin","455","001","24","3.250","45.8","12.5","8.3","8.3","12.5",".","4.2",".",".",".",".",".",".",".","8.3","."
"General Ecology","460","001","21","3.429","33.3","23.8","38.1","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"General Genetics","466","001","13","3.038","30.8","15.4","30.8","7.7",".","15.4",".",".",".",".",".",".",".",".",".","."
"","575","002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","575","003","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Plant Biochemistry","621","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Fungal Ecol & Biotechnology","636","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Capstone-Field Biology I","639","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","044","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","691","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","7","3.850","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","692","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
