"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"","354
001","70","2.629","21.4","5.7","15.7","14.3","35.7","2.9","4.3",".",".",".",".",".",".",".",".","."
"","354
002","64","2.742","18.8","15.6","20.3","20.3","15.6","1.6","7.8",".",".",".",".",".",".",".",".","."
"","354
004","76","2.809","19.7","13.2","30.3","9.2","17.1","7.9","2.6",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","Course Total","210","2.729","20.0","11.4","22.4","14.3","22.9","4.3","4.8",".",".",".",".",".",".",".",".","."
"","001
367","57","3.113","26.3","28.1","12.3","10.5","10.5","1.8","3.5","5.3","1.8",".",".",".",".",".",".","."
"","002
367","69","3.015","20.3","23.2","26.1","8.7","11.6","7.2",".",".",".",".",".",".",".",".","2.9","."
"","367
004","53","2.735","24.5","5.7","26.4","15.1","11.3","5.7","7.5",".",".",".",".",".",".",".","3.8","."
"","367
005","76","2.875","18.4","25.0","15.8","15.8","15.8","7.9","1.3",".",".",".",".",".",".",".",".","."
"","367
006","54","2.870","29.6","11.1","18.5","14.8","14.8","7.4","3.7",".",".",".",".",".",".",".",".","."
"Intro to Data Structures","Course Total","309","2.924","23.3","19.4","19.7","12.9","12.9","6.1","2.9","1.0","0.3",".",".",".",".",".","1.3","."
"","368
001","27","",".",".",".",".",".",".",".",".",".","88.9","11.1",".",".",".",".","."
"","368
002","23","",".",".",".",".",".",".",".",".",".","95.7","4.3",".",".",".",".","."
"","368
003","26","",".",".",".",".",".",".",".",".",".","92.3","7.7",".",".",".",".","."
"Learn a New Programming Lang","Course Total","76","",".",".",".",".",".",".",".",".",".","92.1","7.9",".",".",".",".","."
"Intro to Numerical Methods","001
412","87","2.936","32.2","11.5","16.1","14.9","14.9","5.7","3.4",".",".",".",".",".",".","1.1",".","."
"Intro-Combinatorics","475
001","12","3.042","33.3","8.3","25.0",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"Intro-Theoretical Comp Sci","520
001","57","3.395","40.4","21.1","29.8","1.8","5.3",".","1.8",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525
001","63","2.548","15.9","12.7","19.0","14.3","22.2","9.5","6.3",".",".",".",".",".",".",".",".","."
"Image Processing","533
001","8","1.500","12.5",".","12.5",".","25.0","12.5","37.5",".",".",".",".",".",".",".",".","."
"Intro-Progm Langs&Compilers","536
001","46","3.243","28.3","23.9","32.6","8.7","4.3","2.2",".",".",".",".",".",".",".",".",".","."
"","537
001","63","3.188","30.2","22.2","23.8","7.9","12.7","1.6",".","1.6",".",".",".",".",".",".",".","."
"","537
002","61","3.234","34.4","21.3","21.3","9.8","9.8","1.6",".",".",".",".",".",".",".","1.6",".","."
"Intro to Operating Systems","Course Total","124","3.210","32.3","21.8","22.6","8.9","11.3","1.6",".","0.8",".",".",".",".",".","0.8",".","."
"","539
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","539
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Artificl Neural Ntwrk","Course Total","6","2.750","33.3",".","16.7",".",".",".","16.7",".",".",".",".",".","16.7",".",".","16.7"
"","001
540","54","3.035","25.9","22.2","18.5","16.7","9.3","7.4",".",".",".",".",".",".",".",".",".","."
"","540
002","52","3.045","25.0","21.2","21.2","17.3","7.7","3.8","1.9",".",".",".",".",".",".","1.9",".","."
"Intro-Artificl Intelligence","Course Total","106","3.040","25.5","21.7","19.8","17.0","8.5","5.7","0.9",".",".",".",".",".",".","0.9",".","."
"Natural Lang & Computing","545
001","16","3.700","75.0",".","6.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".","6.3"
"Comp Systms Mdlng Fundmntls","547
001","30","3.300","36.7","26.7","20.0","6.7","6.7",".","3.3",".",".",".",".",".",".",".",".","."
"","552
001","19","3.132","26.3","21.1","26.3","5.3","21.1",".",".",".",".",".",".",".",".",".",".","."
"","002
552","12","3.292","33.3","16.7","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Computer Architecture","Course Total","31","3.194","29.0","19.4","25.8","12.9","12.9",".",".",".",".",".",".",".",".",".",".","."
"Database Mgt Systems","001
564","75","3.442","50.7","22.7","12.0","8.0","4.0","1.3","1.3",".",".",".",".",".",".",".",".","."
"Introduction to Algorithms","001
577","53","3.170","30.2","15.1","26.4","15.1","13.2",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Topics-Computing","638
002","33","3.045","33.3","21.2","12.1","6.1","18.2","9.1",".",".",".",".",".",".",".",".",".","."
"Intro to Computer Networks","640
001","52","3.530","44.2","25.0","21.2",".","5.8",".",".","1.9",".",".",".",".",".",".","1.9","."
"Senior Honors Thesis","682
093","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
030","7","3.500","57.1",".","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","14.3"
"","699
067","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
076","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
082","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 187 of 388",""
