"SOCIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"698","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","16","3.919","81.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","6.3"
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","090","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","","30","3.918","83.3","6.7","3.3","3.3",".",".",".",".",".",".",".",".",".",".",".","3.3"
"700
Intro Prosmr-Grad Students","001","","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"731
InterSocPsych-Group&Collect","001","","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"748
Environmental Sociology","001","","7","3.643","28.6","71.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"749
Soc Pol&Mgmt-National Parks","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"753
Cmpartv&Hist Methods-Sociol","001","","7","3.500","42.9","14.3","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"773
Intermediate Soc Theory","001","","27","3.778","59.3","37.0","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"875","002","","13","4.000","84.6",".",".",".",".",".",".","7.7",".",".",".",".",".",".",".","7.7"
"Special Topics","Course Total","","17","4.000","64.7",".",".",".",".",".",".","29.4",".",".",".",".",".",".",".","5.9"
"913
Seminar-Social Change","001","","11","3.900","72.7","18.2",".",".",".",".",".",".",".",".",".",".",".",".","9.1","."
"924
Seminar-Political Sociology","002","","15","3.885","66.7","20.0",".",".",".",".",".","6.7",".",".",".",".","6.7",".",".","."
"925
Soc-Econ Chng-Underdev Area","001","","11","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"927
Smr: Soc-Contemp Institutn","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"929
Class Analysis&Hist Change","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"945
Seminar-Rural Sociology","001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"948
Smr: Envir & Resource Soc","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"952
Math&Stat Applications-Soc","001","","14","3.923","85.7",".","7.1",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"984
Rsch:Smr-Sociol of Gender","001","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"985
Rsch:Sci,Tech,Ag,Rscs&Envir","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"987
Rsch: Race & Ethnic Studies","001","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"988
Deviance/Law/Social Control","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 290 of 388",""
