"HORTICULTURE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"476
HORT","","","","","","","","","","","","","","","","","","","",""
"120
Survey of Horticulture","001","","62","2.927","22.6","1.6","41.9","6.5","27.4",".",".",".",".",".",".",".",".",".",".","."
"122
Introductory Horticulture","001","","41","3.049","36.6","4.9","24.4","9.8","19.5","4.9",".",".",".",".",".",".",".",".",".","."
"232
Herbaceous Ornamntl Plant I","001","","35","3.329","40.0","17.1","22.9","8.6","11.4",".",".",".",".",".",".",".",".",".",".","."
"261
Turf Management","001","","16","3.281","18.8","37.5","31.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"263","001","","15","3.033","53.3",".","6.7","20.0","6.7","6.7","6.7",".",".",".",".",".",".",".",".","."
"263","002","","9","2.643","22.2",".",".","11.1","44.4",".",".","22.2",".",".",".",".",".",".",".","."
"Landscape Plants I","Course Total","","24","2.909","41.7",".","4.2","16.7","20.8","4.2","4.2","8.3",".",".",".",".",".",".",".","."
"299","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","7","3.875","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"309
Disease-Landscp Trees&Shrub","001","","11","3.750","72.7","9.1",".",".","9.1",".",".","9.1",".",".",".",".",".",".",".","."
"328
Integrated Weed Management","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"332
Nutrient Managmnt:Turfgrass","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"336
Nutrnt Mgmt: Nursery Trees","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"375","001","","19","3.325","47.4","26.3","10.5","10.5",".",".","5.3",".",".",".",".",".",".",".",".","."
"375","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"375","003","","17","3.059","29.4","11.8","35.3","11.8","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","37","3.202","40.5","18.9","21.6","10.8","2.7",".","5.4",".",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"550
Molec Approach-Crop Improvt","001","","22","3.386","31.8","22.7","40.9",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"571","001","","11","3.273","9.1","36.4","54.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"571","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Stat Meth for Bioscience I","Course Total","","13","3.308","7.7","46.2","46.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","6","3.417","50.0",".","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"799
Pract-Horticulture Teaching","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"861
Chromosme Manipulatn-Plants","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"957
Seminar-Plant Breeding","001","","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","001","","7","",".",".",".",".",".",".",".","57.1",".",".",".","42.9",".",".",".","."
"990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","6","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
"990","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
