"","990
117","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
119","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
122","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
123","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading and Research","Course Total","16","",".",".",".",".",".",".",".","93.8",".",".",".",".","6.3",".",".","."
"MATH
600","Dept. Total","7713","2.686","23.1","11.2","20.7","9.8","20.0","8.2","4.9","0.4",".","1.1","0.1","0.0","0.1","0.2","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3631","2.643","19.4","10.2","22.0","11.2","21.4","8.6","5.1","0.0",".","1.8","0.1",".","0.1","0.2",".","0.1"
"Sophomore","","2077","2.607","20.6","11.2","21.3","8.6","22.1","9.1","5.5",".",".","0.9","0.1",".","0.0","0.2","0.2","0.3"
"Junior","","1000","2.651","22.6","13.7","18.9","11.0","19.0","8.3","5.7","0.2",".","0.2",".",".",".","0.2","0.1","0.1"
"Senior","","563","2.750","25.9","15.3","19.0","8.7","18.1","8.0","4.1","0.4",".","0.2",".",".",".","0.4",".","."
"Undergraduates","","7271","2.641","20.7","11.3","21.2","10.2","21.0","8.7","5.2","0.1",".","1.2","0.1",".","0.1","0.2","0.1","0.1"
"Special","","69","3.249","37.7","14.5","15.9","8.7","11.6","2.9",".","2.9",".",".",".",".","1.4","1.4",".","2.9"
"Graduate","","373","3.746","68.6","7.5","11.8","1.1","1.9","0.3","0.3","6.7",".",".",".","0.3","0.3","1.1","0.3","."
"","Dept. Total","7713","2.686","23.1","11.2","20.7","9.8","20.0","8.2","4.9","0.4",".","1.1","0.1","0.0","0.1","0.2","0.1","0.1"
