"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","",""
"ENGLISH","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","","","",""
"","301","006","","18","3.941","83.3","11.1",".",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Intermediate Fiction Wrkshp","","Course Total","","76","3.750","63.2","27.6","5.3",".",".",".","1.3","2.6",".",".",".",".",".",".",".","."
"Intermediate Poetry Workshp","302","001","","16","3.844","81.3","6.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Fiction Workshop","303","001","","16","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Writing: Workshop","307","001","","15","3.883","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Composition-English Tchrs","309","001","","16","3.563","56.3","12.5","25.0",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Smr-Writng Across Curriculm","316","001","","13","3.731","61.5","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Writing for the Marketplace","317","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Old English","320","001","","16","3.219","56.3","6.3","12.5",".","18.8",".","6.3",".",".",".",".",".",".",".",".","."
"History of English Language","323","001","","26","3.154","34.6","19.2","23.1","11.5","3.8","3.8","3.8",".",".",".",".",".",".",".",".","."
"Structure of English-Tchrs","324","001","","22","3.636","40.9","45.5","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"ESL:Acad Presentatns & Disc","326","001","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL:Prof&Acad Writng Skills","327","001","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","328","001","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","328","002","","14","",".",".",".",".",".",".",".",".",".","92.9",".",".",".",".",".","7.1"
"","328","003","","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","328","004","","18","",".",".",".",".",".",".",".",".",".","94.4","5.6",".",".",".",".","."
"ESL: Acad Skills Workshops","","Course Total","","63","",".",".",".",".",".",".",".",".",".","96.8","1.6",".",".",".",".","1.6"
"The Structure of English","329","001","","32","3.452","28.1","40.6","18.8","9.4",".",".",".",".",".",".",".",".",".","3.1",".","."
"English Phonology","330","001","","22","2.909","13.6","27.3","31.8","9.1","9.1","4.5","4.5",".",".",".",".",".",".",".",".","."
"English Dialects","331","001","","45","3.522","40.0","31.1","22.2","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Eng 2nd Lang: Theory & Prac","334","001","","22","3.386","27.3","40.9","27.3",".",".","4.5",".",".",".",".",".",".",".",".",".","."
"The Anglo-Saxons","360","001","","37","3.162","24.3","32.4","13.5","16.2","10.8","2.7",".",".",".",".",".",".",".",".",".","."
"Chaucer's Canterbury Tales","367","001","","34","3.015","5.9","20.6","41.2","29.4",".",".",".",".",".",".",".",".","2.9",".",".","."
"Colloq:Rsch Possibilty-Engl","381","001","","11","3.636","54.5","27.3","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"The Sixteenth Century","400","001","","32","2.677","28.1","6.3","21.9","6.3","15.6","12.5","6.3",".",".",".",".",".","3.1",".",".","."
"","417","001","","44","2.628","27.3","4.5","9.1","18.2","27.3","4.5","6.8","2.3",".",".",".",".",".",".",".","."
"","417","002","","33","2.924","24.2","12.1","30.3","15.2","12.1",".","6.1",".",".",".",".",".",".",".",".","."
"Shakespeare","","Course Total","","77","2.757","26.0","7.8","18.2","16.9","20.8","2.6","6.5","1.3",".",".",".",".",".",".",".","."
"","460","001","","34","3.167","11.8","17.6","58.8","8.8",".",".",".",".",".",".",".",".","2.9",".",".","."
"","460","002","","28","3.589","50.0","21.4","25.0","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"English Novel: 19th Cent","","Course Total","","62","3.361","29.0","19.4","43.5","6.5",".",".",".",".",".",".",".",".","1.6",".",".","."
"Romantic Poetry","463","001","","47","3.620","40.4","40.4","17.0",".",".",".",".",".",".",".",".",".","2.1",".",".","."
"Outstnd Figures-19c Eng Lit","467","001","","53","3.462","43.4","22.6","22.6","5.7","5.7",".",".",".",".",".",".",".",".",".",".","."
"Theme in 19th C Eng Lit","468","001","","12","3.250","25.0","25.0","33.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"Jr Honors Seminar in Major","481","001","","11","3.545","27.3","54.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Figures of Contemp Eng Lit","500","001","","34","3.353","17.6","41.2","35.3","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Mod British Lit Since 1914","507","001","","34","3.125","8.8","44.1","23.5","8.8","5.9",".","2.9",".",".",".",".",".",".","2.9",".","2.9"
"Modern Critical Theories","553","001","","32","3.484","34.4","43.8","15.6",".",".",".","3.1",".",".",".",".",".","3.1",".",".","."
"Topic-Ethnic&Multicultr Lit","591","001","","62","3.495","27.4","46.8","21.0","1.6","1.6",".",".",".",".",".",".",".",".","1.6",".","."
"Asian Amer Women Writers","595","001","","26","3.385","26.9","34.6","30.8","3.8","3.8",".",".",".",".",".",".",".",".",".",".","."
