"Intermed Naval Lab I","","","","","","","","","","","","","","","","","","","","","","","",""
"Naval Weapons","401
001","9","3.833","77.8","11.1","11.1",".",".",".","",".",".","",".","",".",".","",".","",".",".",".","."
"Advanced Naval Laboratory I","475
001","10","4.000","100.0",".",".",".",".",".","",".",".","",".","",".",".","",".","",".",".",".","."
"Professional Naval Lab I","575
001","2","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"NAV SCI
672","Dept. Total","110","3.733","70.9","17.3","6.4","0.9","1.8","",".","0.9","",".","",".",".","",".","",".","0.9","0.9",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"672
NAV SCI","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","26","3.457","50.0","19.2","11.5","3.8","3.8","",".","3.8","",".","",".",".","",".","",".","3.8","3.8",".","."
"Sophomore","","26","3.734","73.1","19.2","3.8",".","3.8","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Junior","","29","3.765","75.9","17.2","6.9",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","29","3.862","82.8","13.8","3.4",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","110","3.733","70.9","17.3","6.4","0.9","1.8","",".","0.9","",".","",".",".","",".","",".","0.9","0.9",".","."
"","Dept. Total","110","3.733","70.9","17.3","6.4","0.9","1.8","",".","0.9","",".","",".",".","",".","",".","0.9","0.9",".","."
