"","999
045","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
083","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
111","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Adv Ind Work-Applied Music","Course Total","14","4.000","92.9",".",".",".",".","",".","",".","7.1","",".",".","",".","",".",".",".",".","."
"MUS PERF
664","Dept. Total","563","3.821","71.4","21.0","5.3","1.1","0.7","",".","",".","0.4","",".",".","",".","",".","0.2",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","82","3.848","70.7","28.0",".",".","1.2","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","112","3.676","58.9","25.9","11.6","2.7","0.9","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","117","3.802","68.4","22.2","6.0","2.6","0.9","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","138","3.873","74.6","19.6","4.3",".","0.7","",".","",".",".","",".",".","",".","",".","0.7",".",".","."
"Undergraduates","","449","3.800","68.4","23.4","5.8","1.3","0.9","",".","",".",".","",".",".","",".","",".","0.2",".",".","."
"Special","","23","3.821","69.6","30.4",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","","91","3.905","86.8","6.6","4.4",".",".","",".","",".","2.2","",".",".","",".","",".",".",".",".","."
"","Dept. Total","563","3.821","71.4","21.0","5.3","1.1","0.7","",".","",".","0.4","",".",".","",".","",".","0.2",".",".","."
