"","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"","Course Total","","29","",".",".",".",".",".",".",".","72.4",".",".",".","27.6",".",".",".","."
"999","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","061","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Course Total","","15","4.000","66.7",".",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
