"L&S","","","","","","","","","","","","","","","","","","",""
"CLASSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","",""
"Civilizat of Ancient Greece","320
001","80","2.944","12.5","26.3","32.5","15.0","6.3","5.0","2.5",".",".",".",".",".",".",".",".","."
"Topics in Roman Culture","372
001","26","3.521","30.8","38.5","19.2","3.8",".",".",".","3.8",".",".",".",".",".","3.8",".","."
"Intermed Ancient Egypt Lang","408
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Greek Archaeology","435
001","40","3.205","25.0","32.5","17.5","12.5","5.0","5.0",".","2.5",".",".",".",".",".",".",".","."
"Greek & Roman Med & Phcy","561
001","14","3.536","71.4","7.1","7.1",".","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"Directed Reading","699
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Ancient History","801
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"CLASSICS
244","Dept. Total","164","3.164","25.0","27.4","23.8","11.0","4.9","4.3","1.2","1.8",".",".",".",".",".","0.6",".","."
