"","990
058","","1","***","","","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
059","","1","***","","","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
061","","1","***","","","","","","","","","","","","","",".",".",".",".","",".",".","."
"Research and Thesis","Course Total","","27","",".","",".",".",".","",".","",".","",".","92.6",".",".",".","7.4","",".",".",".","."
"NEUROSCI
682","Dept. Total","","70","3.615","12.9","",".","4.3",".","",".","",".","",".","80.0",".",".",".","2.9","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","","B","BC","C","","D","","F","","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"682
NEUROSCI","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","2","3.571","50.0","",".","50.0",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Senior","","","3","3.300","33.3","",".","66.7",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Undergraduates","","","5","3.412","40.0","",".","60.0",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Graduate","","","53","4.000","11.3","",".",".",".","",".","",".","",".","86.8",".",".",".","1.9","",".",".",".","."
"Prof Yr 3","","","8","",".","",".",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"Prof Yr 4","","","4","4.000","25.0","",".",".",".","",".","",".","",".","50.0",".",".",".","25.0","",".",".",".","."
"Professionals","","","12","4.000","8.3","",".",".",".","",".","",".","",".","83.3",".",".",".","8.3","",".",".",".","."
"","Dept. Total","","70","3.615","12.9","",".","4.3",".","",".","",".","",".","80.0",".",".",".","2.9","",".",".",".","."
