"","990
073","2","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
074","4","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
076","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","65","",".",".",".",".",".",".",".","83.1",".",".",".","16.9","",".",".",".","."
"AHABS
952","Dept. Total","196","3.308","39.8","10.7","4.1","1.5","6.1","0.5","0.5","29.1",".",".",".","7.1","",".",".","0.5","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"952
AHABS","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","35","3.729","74.3","20.0",".",".","2.9",".","2.9",".",".",".",".",".","",".",".",".","."
"Sophomore","","15","3.395","60.0","26.7","6.7",".","6.7",".",".",".",".",".",".",".","",".",".",".","."
"Junior","","10","2.720","50.0","10.0",".","10.0","30.0",".",".",".",".",".",".",".","",".",".",".","."
"Senior","","19","2.836","36.8",".","15.8","10.5","26.3","5.3",".",".",".",".",".","5.3","",".",".",".","."
"Undergraduates","","79","3.127","59.5","15.2","5.1","3.8","12.7","1.3","1.3",".",".",".",".","1.3","",".",".",".","."
"Special","","5","3.400","60.0",".",".",".","20.0",".",".",".",".",".",".",".","",".",".","20.0","."
"Graduate","","111","3.645","25.2","8.1","3.6",".","0.9",".",".","50.5",".",".",".","11.7","",".",".",".","."
"Prof Yr 3","","1","",".",".",".",".",".",".",".","100.0",".",".",".",".","",".",".",".","."
"Professionals","","1","",".",".",".",".",".",".",".","100.0",".",".",".",".","",".",".",".","."
"","Dept. Total","196","3.308","39.8","10.7","4.1","1.5","6.1","0.5","0.5","29.1",".",".",".","7.1","",".",".","0.5","."
