"Invasions&Empires:Cent Asia","106
001","","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Civ of Central Asia","303
001","","17","3.344","11.8","41.2","41.2",".","",".",".","",".","","5.9",".","",".",".","",".","",".","",".",".","."
"First Yr Cen Asian Lang I","331
001","","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Third Yr Cen Asian Lang I","431
001","","4","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"CEN ASIA
218","Dept. Total","","23","3.500","30.4","34.8","30.4",".","",".","",".","",".","4.3","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"218
CEN ASIA","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","2","3.500","50.0",".","50.0",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","5","3.200",".","40.0","60.0",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","6","3.400","16.7","33.3","33.3",".","",".","",".","",".","16.7","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","14","3.385","21.4","28.6","42.9",".","",".","",".","",".","7.1","",".",".","",".","",".","",".",".",".","."
"Graduate","","","9","3.667","44.4","44.4","11.1",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","23","3.500","30.4","34.8","30.4",".","",".","",".","",".","4.3","",".",".","",".","",".","",".",".",".","."
