"BUS","","","","","","","","","","","","","","","","","","","","","",""
"INTERNATIONAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"235
INTL BUS","","","","","","","","","","","","","","","","","","","","","",""
"","200
001","225","3.036","22.7","18.7","22.2","18.7","16.4","1.3",".",".",".","",".",".","",".","",".",".",".","."
"","200
002","238","2.800","14.7","17.6","16.0","22.3","26.5","1.7","0.8","0.4",".","",".",".","",".","",".",".",".","."
"International Business","Course Total","463","2.915","18.6","18.1","19.0","20.5","21.6","1.5","0.4","0.2","",".",".","",".","",".",".",".",".","."
"","365
001","44","3.806","79.5","15.9",".",".",".",".","2.3",".",".","",".",".","",".","",".",".","2.3","."
"","365
002","52","3.611","40.4","42.3","11.5","1.9",".",".",".","1.9",".","",".",".","",".","",".","1.9",".","."
"","365
003","22","3.730","86.4",".","13.6",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"Contemporary Topics","Course Total","118","3.711","63.6","24.6","7.6","0.8",".",".","0.8","0.8","",".",".","",".","",".",".","0.8","0.8","."
"","399
018","2","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","399
091","2","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Reading & Research-Intl Bus","Course Total","4","***","","","","","","","","","","","","","","","","","","",""
"","420
001","5","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","420
002","4","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Global Marketing","Course Total","9","2.889","11.1",".","55.6","22.2","11.1",".",".",".","",".",".","",".","",".",".",".",".","."
"Rdg & Rsch-Internal Bus","799
091","2","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"INTL BUS
235","Dept. Total","596","2.990","27.7","19.0","17.4","16.4","16.9","1.2","0.5","0.3","",".",".","",".","",".","0.2","0.2","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"235
INTL BUS","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","59","2.749","20.3","8.5","18.6","23.7","22.0","6.8",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","322","2.976","26.1","22.0","16.1","17.1","16.8","0.6","0.6","0.3","",".",".","",".","",".",".","0.3",".","."
"Senior","","203","3.066","31.5","17.7","18.7","13.8","16.3","0.5","0.5","0.5","",".",".","",".","",".",".",".","0.5","."
"Undergraduates","","585","2.984","27.5","19.1","17.3","16.6","17.1","1.2","0.5","0.3","",".",".","",".","",".",".","0.2","0.2","."
"Special","","8","3.250","37.5","12.5","25.0","12.5","12.5",".",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","","2","3.000",".",".","50.0",".",".",".",".",".","",".",".","",".","",".","50.0",".",".","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","596","2.990","27.7","19.0","17.4","16.4","16.9","1.2","0.5","0.3","",".",".","",".","",".","0.2","0.2","0.2","."
