"CONSUMER SCIENCE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","","","",""
"Consumer Finance","275","001","","77","3.026","7.8","29.9","33.8","16.9","11.7",".",".",".",".",".",".",".",".",".",".","."
"Retailing Theory & Practice","357","001","","49","3.240","30.6","16.3","32.7","14.3","2.0",".","2.0","2.0",".",".",".",".",".",".",".","."
"Comp Applicatns-Retailing","370","001","","14","3.107","14.3","28.6","28.6","21.4","7.1",".",".",".",".",".",".",".",".",".",".","."
"Consumer Investgtv Reportng","430","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Hist-Consumr Movemnts in US","470","001","","36","3.083","8.3","30.6","38.9","13.9","8.3",".",".",".",".",".",".",".",".",".",".","."
"Family Economics","475","001","","39","3.244","20.5","30.8","33.3","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"The Consumer and the Market","477","001","","40","3.763","62.5","27.5","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","501","001","","15","3.267","6.7","46.7","40.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Retail Promotion","560","001","","38","3.737","65.8","21.1","7.9","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Consumer Science","565","001","","13","3.692","53.8","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Econ & Public Policy","575","001","","37","3.324","21.6","35.1","35.1","2.7","5.4",".",".",".",".",".",".",".",".",".",".","."
"Consumer Science Internship","601","015","","21","3.904","81.0","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Experience-Retailing","602","015","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Retailing Internship","603","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Consumer Finance","627","001","","30","3.655","43.3","43.3","6.7","3.3",".",".",".",".",".",".",".",".",".","3.3",".","."
"Economc Organizatn-Househld","648","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Consumer Behavior","657","001","","45","3.711","57.8","31.1","6.7","4.4",".",".",".",".",".",".",".",".",".",".",".","."
"","699","005","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","18","3.792","83.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","9","",".",".",".",".",".",".",".","88.9",".",".",".","11.1",".",".",".","."
"Independent Study","999","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
