"","990
044","","2","***","","","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
063","","1","***","","","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
150","","1","***","","","","","","","","","","","","","",".",".",".",".","",".",".","."
"Rsch in Human Cancer Bio","Course Total","","12","",".","",".","",".",".",".","",".","",".","91.7",".",".",".","8.3","",".",".",".","."
"H ONCOL
480","Dept. Total","","23","3.818","30.4","",".","",".",".","4.3","",".","",".","47.8",".","13.0",".","4.3","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","","B","","BC","C","D","","F","","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"480
H ONCOL","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","2","4.000","100.0","",".","",".",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Undergraduates","","","2","4.000","100.0","",".","",".",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Graduate","","","15","",".","",".","",".",".",".","",".","",".","73.3",".","20.0",".","6.7","",".",".",".","."
"Prof Yr 3","","","3","4.000","100.0","",".","",".",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Prof Yr 4","","","3","3.600","66.7","",".","",".",".","33.3","",".","",".",".",".",".",".",".","",".",".",".","."
"Professionals","","","6","3.778","83.3","",".","",".",".","16.7","",".","",".",".",".",".",".",".","",".",".",".","."
"","Dept. Total","","23","3.818","30.4","",".","",".",".","4.3","",".","",".","47.8",".","13.0",".","4.3","",".",".",".","."
