"L&S","","","","","","","","","","","","","","","","","","","",""
"ATMOSPHERIC & OCEANIC SCIE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","","",""
"100","001","","247","2.941","15.8","21.1","25.5","21.5","12.1","1.6","2.0",".",".",".",".",".",".",".",".","0.4"
"100","002","","192","2.531","8.9","11.5","17.2","24.0","30.2","5.7","2.6",".",".",".",".",".",".",".",".","."
"Weather and Climate","Course Total","","439","2.761","12.8","16.9","21.9","22.6","20.0","3.4","2.3",".",".",".",".",".",".",".",".","0.2"
"101
Weather and Climate","001","","127","3.317","38.6","20.5","20.5","11.0","6.3","1.6","0.8","0.8",".",".",".",".",".",".",".","."
"105
Survey of Oceanography","001","","39","3.000","25.6","7.7","38.5","2.6","17.9","2.6","2.6",".",".",".",".",".",".",".",".","2.6"
"121","001","","71","2.950","9.9","32.4","21.1","22.5","8.5","1.4","2.8","1.4",".",".",".",".",".",".",".","."
"121","002","","33","2.773","6.1","18.2","39.4","9.1","21.2","6.1",".",".",".",".",".",".",".",".",".","."
"Atmspherc Envirnmnt&Society","Course Total","","104","2.893","8.7","27.9","26.9","18.3","12.5","2.9","1.9","1.0",".",".",".",".",".",".",".","."
"310
Dynamics-Atmosphere&Ocean I","001","","24","2.521","8.3","8.3","25.0","20.8","25.0","12.5",".",".",".",".",".",".",".",".",".","."
"330
Physics-Atmosphere&Ocean I","001","","24","2.646","16.7",".","25.0","29.2","20.8","8.3",".",".",".",".",".",".",".",".",".","."
"331
Climatic Environments-Past","001","","15","2.821","20.0","13.3","26.7","6.7","13.3","13.3",".",".",".",".",".",".",".","6.7",".","."
"401
Topics in Meteorology","001","","24","3.417","29.2","33.3","33.3",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"425
Global Climate Processes","001","","6","3.900","66.7","16.7",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"452
Syn Lab I:Frontal Cyclone","001","","24","3.042","20.8","16.7","29.2","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"532
Environmental Biophysics","001","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"610
Geophys Fluid Dynamics I","001","","13","3.458","46.2",".","38.5","7.7",".",".",".","7.7",".",".",".",".",".",".",".","."
"623
Electronic Aids to Measmnt","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"630
Intro to Atm & Ocn Physics","001","","14","3.500","35.7","35.7","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"638
Atmospheric Chemistry","001","","7","3.571","42.9","42.9",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"660
Intro-Physical Oceanography","001","","7","3.214","57.1",".","14.3","14.3",".","14.3",".",".",".",".",".",".",".",".",".","."
"698
Directed Study","029","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"760
Large-Scale Ocn-Atm Couplng","001","","6","3.600","33.3","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"850
Topic-Appl & Exper Meteor","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"915
Seminar-Dynamics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"960
Seminar-Oceanography","001","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"980
Earth System Sci Seminar","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 250 of 388",""
