"HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"United States, 1877-1914","395","001","70","3.319","31.4","25.7","28.6","7.1","5.7",".","1.4",".",".",".",".",".",".",".",".","."
"The US Since 1945","398","001","72","3.047","9.7","27.8","36.1","22.2","1.4",".","2.8",".",".",".",".",".",".",".",".","."
"Immigratn&Assimlatn-Am Hist","403","001","121","3.155","9.9","39.7","31.4","12.4","5.0","0.8","0.8",".",".",".",".",".",".",".",".","."
"20th c Hlth Care & Research","414","001","21","2.625","23.8","23.8","9.5",".","19.0","4.8","14.3",".",".",".",".",".",".",".",".","4.8"
"Russian Social&Intel Hist","420","001","49","3.357","38.8","22.4","22.4","6.1","4.1",".","2.0",".",".",".",".",".",".","4.1",".","."
"Hist Poland & Baltic Area","425","001","24","3.388","12.5","50.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Amer Foreign Rel, 1763-1901","433","001","35","3.187","34.3","11.4","37.1","5.7","2.9",".","5.7","2.9",".",".",".",".",".",".",".","."
"Race,Class&Colonlsm-Caribbn","436","001","30","3.267","23.3","40.0","26.7",".","6.7",".","3.3",".",".",".",".",".",".",".",".","."
"Rev&Conflict-Mod Latin Amer","441","001","39","3.517","43.6","28.2","17.9","2.6","5.1",".",".",".",".",".",".",".",".",".","2.6","."
"History of East Africa","444","001","24","2.769","20.8","20.8","16.7","12.5","8.3",".","12.5","4.2",".",".",".",".",".","4.2",".","."
"History of Medieval India","448","001","36","3.389","27.8","36.1","19.4","8.3","5.6",".",".",".",".",".",".",".",".","2.8",".","."
"Am Relig Hist to Mid-19th c","451","001","20","2.889","5.0","20.0","45.0","10.0","5.0",".","5.0","5.0",".",".",".",".",".","5.0",".","."
"Anc Japan&Courtly Society","453","001","35","3.238","31.4","20.0","25.7","8.6","8.6","2.9",".",".",".",".",".",".",".","2.9",".","."
"The American West to 1850","461","001","40","3.392","15.0","55.0","15.0","2.5","5.0",".",".","5.0",".",".",".",".",".",".","2.5","."
"Topics in S Asian History","463","001","6","3.500","33.3","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","16.7"
"Eur Soc Hist 1830-1914","474","001","35","3.261","40.0","22.9","14.3","11.4","5.7","2.9","2.9",".",".",".",".",".",".",".",".","."
"","500","001","11","3.544","36.4","36.4","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","500","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading Seminar in History","","Course Total","13","3.425","30.8","38.5","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Society&Health Care-Am Hist","504","001","8","2.000","12.5",".","12.5",".","50.0","12.5","12.5",".",".",".",".",".",".",".",".","."
"Hist of Mass Communication","560","001","20","2.150",".","15.0","25.0","5.0","35.0","5.0","15.0",".",".",".",".",".",".",".",".","."
"Greek & Roman Med & Phcy","561","001","15","3.400","60.0",".","20.0",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"Contemp Scand:Politics&Hist","577","001","12","3.689","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".",".","16.7",".","."
"","600","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","600","002","19","3.684","47.4","42.1","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","003","15","3.800","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","004","17","3.618","41.2","41.2","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","007","16","3.656","56.3","25.0","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","600","009","17","3.765","64.7","23.5","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","010","15","3.133","26.7","20.0","40.0","6.7",".",".","6.7",".",".",".",".",".",".",".",".","."
"","600","011","13","3.462","23.1","53.8","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","600","012","8","2.583","12.5","12.5","12.5","25.0",".",".","12.5",".",".",".",".",".","12.5","12.5",".","."
"","600","015","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Seminar in History","","Course Total","129","3.563","46.5","30.2","15.5","3.9",".",".","1.6","0.8",".",".",".",".","0.8","0.8",".","."
"Amer Abroad-Hist Dimension","607","001","20","3.289","25.0","30.0","30.0","5.0",".","5.0",".",".",".",".",".",".",".",".","5.0","."
"Hist-Civ Rghts Movmnt in US","628","001","29","3.603","41.4","41.4","13.8","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Afro-Amer History to 1900","635","001","10","3.222",".","40.0","50.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","680","001","15","3.633","53.3","20.0","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","680","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Thesis Colloquium","","Course Total","18","3.694","61.1","16.7","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 220 of 388",""
