"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"FINANCE","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","",".",".",".",".",".",".","",".",".","",".",".","",".",".","100.0",".",".","."
"Sophomore","1","3.000",".",".","100.0",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","358","3.193","26.5","11.5","42.7","13.7","5.3","0.3","",".",".","",".",".","",".",".",".",".",".","."
"Senior","590","3.126","18.0","21.4","37.5","14.4","7.3","0.7","",".","0.7","",".",".","",".",".",".",".","0.2","."
"Undergraduates","950","3.152","21.2","17.6","39.5","14.1","6.5","0.5","",".","0.4","",".",".","",".",".","0.1",".","0.1","."
"Special","26","3.577","53.8","23.1","19.2",".",".","3.8","",".",".","",".",".","",".",".",".",".",".","."
"Graduate","379","3.539","38.5","34.6","19.3","3.2","1.1",".","",".","3.2","",".",".","",".","0.3",".",".",".","."
"Prof Yr 2","2","3.000",".",".","100.0",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 3","1","3.000",".",".","100.0",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Professionals","3","3.000",".",".","100.0",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
