"","699
061","","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","","","","","","","",""
"Individual Research Thesis","890
002","","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Seminar-Related Fields","970
001","","3","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"GREEK
428","Dept. Total","","63","3.500","55.6","22.2","6.3","6.3","",".","",".","4.8","3.2","",".",".","",".","",".","",".",".",".","1.6"
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"428
GREEK","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","1","4.000","100.0",".",".",".","",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","6","3.739","50.0","50.0",".",".","",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","11","3.128","27.3","36.4","18.2","9.1","",".","",".","9.1",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","21","3.303","52.4","14.3","9.5","9.5","",".","",".","9.5","4.8","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","39","3.337","46.2","25.6","10.3","7.7","",".","",".","7.7","2.6","",".",".","",".","",".","",".",".",".","."
"Special","","","5","3.750","40.0","40.0",".",".","",".","",".",".",".","",".",".","",".","",".","",".",".",".","20.0"
"Graduate","","","19","3.856","78.9","10.5",".","5.3","",".","",".",".","5.3","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","63","3.500","55.6","22.2","6.3","6.3","",".","",".","4.8","3.2","",".",".","",".","",".","",".",".",".","1.6"
