"EDU","","","","","","","","","","","","","","","","","","","","",""
"EDUCATIONAL POLICY STUDIES Section","#","Ave","A","AB","B","BC","C","","D","","F","S","U","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","","",""
"ED POL
Dept. Total
310","463","3.666","50.1","25.5","10.8","1.1","",".","",".","1.1","5.8","0.2","2.6","",".","2.2","0.4","0.2",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","","D","","F","S","U","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","21","3.881","81.0","14.3","4.8",".","",".","",".",".",".",".",".","",".",".",".",".",".","."
"Sophomore","26","3.724","61.5","23.1","15.4",".","",".","",".",".",".",".",".","",".",".",".",".",".","."
"Junior","136","3.504","41.9","36.0","16.2","2.2","",".","",".","2.9",".",".",".","",".",".",".","0.7",".","."
"Senior","145","3.675","56.6","26.2","14.5","1.4","",".","",".","0.7",".",".",".","",".",".","0.7",".",".","."
"Undergraduates","328","3.621","52.4","29.3","14.6","1.5","",".","",".","1.5",".",".",".","",".",".","0.3","0.3",".","."
"Special","27","3.783","59.3","33.3","3.7",".","",".","",".",".","3.7",".",".","",".",".",".",".",".","."
"Graduate","107","3.867","40.2","12.1","0.9",".","",".","",".",".","24.3","0.9","11.2","",".","9.3","0.9",".",".","."
"Prof Yr 1","1","4.000","100.0",".",".",".","",".","",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","1","4.000","100.0",".",".",".","",".","",".",".",".",".",".","",".",".",".",".",".","."
"Dept. Total","463","3.666","50.1","25.5","10.8","1.1","",".","",".","1.1","5.8","0.2","2.6","",".","2.2","0.4","0.2",".","."
