"","ED LEADERSHP & POLICY ANAL Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","","",""
"Public School Adm-America","500","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","502","001","","8","3.813","87.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","502","002","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"","502","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Workshop in Ed Admin","","Course Total","","19","3.921","84.2",".",".","5.3",".",".",".",".",".",".",".",".","10.5",".",".","."
"","700","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","700","024","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700","032","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","700","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","700","041","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Experience-Ed Admin","","Course Total","","23","4.000","95.7",".",".",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"Intro-Higher & Post-Sec Ed","701","001","","27","3.852","70.4","29.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Elem & Sec Educ Admin","702","001","","25","3.909","72.0","16.0",".",".",".",".",".",".",".",".",".",".","12.0",".",".","."
"Govern&Admin-Coll&Universty","715","001","","17","3.647","29.4","70.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch Meth & Proc-Ed Admin","725","001","","15","3.767","73.3","6.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Serv&Divrsty-El/Scndry","735","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Issues in Educ Policy Analysis","765","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sch-Com Rel:Commun,Mrkt,Pol","770","001","","26","3.827","69.2","26.9","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Staff Personnel Sys in Ed","785","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Rsch Dsgn&Meth-Ed Admin","824","001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financng Elem&Secondry Educ","830","001","","12","3.909","75.0","16.7",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Financng Postsecondry Educ","831","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Aspects of Higher Ed","841","001","","20","3.842","70.0","20.0","5.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"The School Principalship","845","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Instr Leadershp&Schl Improv","847","001","","26","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","860","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","860","002","","32","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Org Theory&Behavior in Educ","","Course Total","","51","3.922","84.3","15.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Politics of Education","870","001","","13","3.917","76.9","15.4",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Theory&Practice-Ed Planning","875","001","","6","3.800","50.0","33.3",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","900","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","900","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","900","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","900","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship in Ed Admin","","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr in Educational Admin","","Course Total","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","003","","6","",".",".",".",".",".",".",".","33.3",".",".",".","66.7",".",".",".","."
"","990","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","012","","7","",".",".",".",".",".",".",".","71.4",".",".",".","28.6",".",".",".","."
"","990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","","Page 90 of 388"
