"BUS","","","","","","","","","","","","","","","","","","","","","",""
"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","","","","",""
"","770
001","22","3.523","36.4","31.8","31.8",".",".",".",".",".",".",".",".","",".","",".","",".",".","."
"","770
002","34","3.529","32.4","41.2","26.5",".",".",".",".",".",".",".",".","",".","",".","",".",".","."
"Financial Accounting Theory","Course Total","56","3.527","33.9","37.5","28.6",".",".",".",".",".",".",".","",".","",".","",".",".",".","."
"Smr-Current Taxation Topics","772
001","16","3.500","43.8","31.3","12.5","6.3","6.3",".",".",".",".",".",".","",".","",".","",".",".","."
"","799
008","2","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"","799
057","2","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"Reading&Research-Accounting","Course Total","4","***","","","","","","","","","","","","","","","","","","",""
"","971
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".","",".","",".","",".",".","."
"","971
002","1","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"Smr-Accounting Research","Course Total","11","4.000","100.0",".",".",".",".",".",".",".",".",".","",".","",".","",".",".",".","."
"","990
008","1","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
057","2","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
085","1","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"PhD Thesis-Accounting","Course Total","4","***","","","","","","","","","","","","","","","","","","",""
"Readng & Rsch-Accountng PhD","999
075","1","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"ACCT I S
232","Dept. Total","2261","3.055","24.2","17.9","31.1","8.8","12.9","4.1","0.6","0.2","0.1",".","",".","",".","",".",".","0.0","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".","",".","",".",".",".","."
"Sophomore","","344","2.782","21.2","7.0","31.4","5.8","26.5","7.3","0.9",".",".",".","",".","",".","",".",".",".","."
"Junior","","725","2.928","20.4","14.8","31.3","11.4","15.4","5.7","0.8",".",".",".","",".","",".","",".",".","0.1","."
"Senior","","697","3.006","20.1","16.6","34.4","11.9","12.3","3.9","0.6","0.1",".",".","",".","",".","",".",".",".","."
"Undergraduates","","1767","2.931","20.5","14.0","32.5","10.5","16.4","5.3","0.7","0.1",".",".","",".","",".","",".",".","0.1","."
"Special","","24","3.326","33.3","20.8","25.0","8.3","8.3",".",".","4.2",".",".","",".","",".","",".",".",".","."
"Graduate","","462","3.534","37.7","32.7","26.0","2.2","0.2",".",".","0.6","0.6",".","",".","",".","",".",".",".","."
"Prof Yr 2","","3","3.438","33.3","33.3","33.3",".",".",".",".",".",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","5","3.500","40.0","20.0","40.0",".",".",".",".",".",".",".","",".","",".","",".",".",".","."
"Professionals","","8","3.478","37.5","25.0","37.5",".",".",".",".",".",".",".","",".","",".","",".",".",".","."
"","Dept. Total","2261","3.055","24.2","17.9","31.1","8.8","12.9","4.1","0.6","0.2","0.1",".","",".","",".","",".",".","0.0","."
