"MEDICAL SCIENCES - VET MED","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","","",""
"574
Veterinary Prev Medicine","001","","83","3.904","81.9","16.9","1.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"620
Veterinary Medicine I","001","","83","3.090","14.5","13.3","55.4","9.6","7.2",".",".",".",".",".",".",".",".",".",".","."
"624
Theriogenology I","001","","83","3.675","68.7",".","30.1",".","1.2",".",".",".",".",".",".",".",".",".",".","."
"630
Veterinary Clin Nutrition","001","","82","3.677","54.9","26.8","17.1","1.2",".",".",".",".",".",".",".",".",".",".",".","."
"667
Small Animal Neurology","001","","16","4.000","31.3",".",".",".",".",".",".","68.8",".",".",".",".",".",".",".","."
"668
Clinical Dermatology Rotation","001","","22","4.000","36.4",".",".",".",".",".",".","63.6",".",".",".",".",".",".",".","."
"669
Small Anim Cardiology Rotation","001","","21","4.000","47.6",".",".",".",".",".",".","52.4",".",".",".",".",".",".",".","."
"670","001","","38","4.000","2.6",".",".",".",".",".",".","97.4",".",".",".",".",".",".",".","."
"670","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Rotation:Lrge Animal Med","Course Total","","40","4.000","2.5",".",".",".",".",".",".","97.5",".",".",".",".",".",".",".","."
"672
Sr Rotation:Theriogenology","001","","28","4.000","21.4",".",".",".",".",".",".","78.6",".",".",".",".",".",".",".","."
"674
Sr Rotation:Ambulatory Serv","001","","17","4.000","17.6",".",".",".",".",".",".","82.4",".",".",".",".",".",".",".","."
"675","001","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","002","","6","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"675","003","","21","4.000","4.8",".",".",".",".",".",".","95.2",".",".",".",".",".",".",".","."
"675","004","","25","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","005","","49","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","007","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","008","","8","4.000","37.5",".",".",".",".",".",".","62.5",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","127","4.000","4.7",".",".",".",".",".",".","95.3",".",".",".",".",".",".",".","."
"678","001","","38","4.000","73.7",".",".",".",".",".",".","26.3",".",".",".",".",".",".",".","."
"678","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Internal Medicine","Course Total","","40","4.000","72.5",".",".",".",".",".",".","27.5",".",".",".",".",".",".",".","."
"679
Small Animal Oncology","001","","13","4.000","38.5",".",".",".",".",".",".","61.5",".",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"701
Production Medicine I","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"703
Production Medicine II","001","","9","4.000","22.2",".",".",".",".",".",".","77.8",".",".",".",".",".",".",".","."
"775","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"775","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"775","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 379 of 388",""
