"L&S","","","","","","","","","","","","","","","","","","","",""
"GEOGRAPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"GEOG
416","Dept. Total","1676","3.000","22.4","18.6","26.5","12.4","11.6","3.0","1.8","2.4","0.1","0.1","",".","0.4","0.2","0.1","0.3","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","319","2.690","11.0","16.6","27.9","14.7","17.2","8.8","3.4",".",".",".","",".",".",".",".","0.3","."
"Sophomore","","401","2.908","13.7","17.7","32.4","17.2","14.2","2.0","2.0",".",".",".","",".",".",".","0.5","0.2","."
"Junior","","341","3.006","20.5","23.2","26.7","9.7","14.1","2.9","2.3","0.3",".",".","",".",".",".",".",".","0.3"
"Senior","","382","3.092","21.7","21.2","30.1","14.1","8.9","1.3","1.0","1.0",".",".","",".",".","0.3",".",".","0.3"
"Undergraduates","","1443","2.918","16.8","19.7","29.5","14.1","13.4","3.5","2.1","0.3",".",".","",".",".","0.1","0.1","0.1","0.1"
"Special","","21","3.525","38.1","23.8","14.3","9.5",".",".",".",".",".",".","",".",".",".",".","14.3","."
"Graduate","","212","3.785","58.5","10.8","7.5","0.9",".",".",".","17.0","0.9","0.5","",".","2.8","0.9",".",".","."
"","Dept. Total","1676","3.000","22.4","18.6","26.5","12.4","11.6","3.0","1.8","2.4","0.1","0.1","",".","0.4","0.2","0.1","0.3","0.1"
