"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","",""
"Introduction to Business","100
001","253","2.789","10.7","15.4","27.7","24.5","16.2","5.5",".",".",".",".",".",".",".",".",".","."
"Directed Study","198
201","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","300
001","23","3.609","30.4","60.9","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
300","24","3.872","79.2","16.7","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
300","23","3.636","52.2","26.1","17.4","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","300
004","24","3.688","41.7","54.2","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
005","24","3.563","20.8","70.8","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
006","26","3.633","50.0","34.6","11.5",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"","007
300","19","3.578","26.3","63.2","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
008","25","3.380","4.0","72.0","20.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","300
009","24","3.820","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","010
300","26","3.596","19.2","80.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
011","25","3.635","32.0","64.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","012
300","26","3.633","26.9","73.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
013","24","3.747","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professional Communication","Course Total","313","3.646","38.0","54.3","6.7","0.6","0.3",".",".",".",".",".",".",".",".",".",".","."
"","001
301","180","2.892","18.3","13.3","30.0","9.4","27.8",".","1.1",".",".",".",".",".",".",".",".","."
"","301
002","221","3.053","21.7","14.9","34.4","10.0","17.6",".","0.5","0.9",".",".",".",".",".",".",".","."
"Business Law","Course Total","401","2.980","20.2","14.2","32.4","9.7","22.2",".","0.7","0.5",".",".",".",".",".",".",".","."
"","302
001","40","2.936","15.0","22.5","25.0","15.0","15.0","5.0",".","2.5",".",".",".",".",".",".",".","."
"","302
002","25","3.180","24.0","20.0","28.0","24.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"Business Law","Course Total","65","3.031","18.5","21.5","26.2","18.5","10.8","3.1",".","1.5",".",".",".",".",".",".",".","."
"","303
001","137","3.015","10.2","21.2","40.9","21.2","4.4","2.2",".",".",".",".",".",".",".",".",".","."
"","303
002","135","3.022","8.9","25.9","35.6","20.0","9.6",".",".",".",".",".",".",".",".",".",".","."
"Business Statistics","Course Total","272","3.018","9.6","23.5","38.2","20.6","7.0","1.1",".",".",".",".",".",".",".",".",".","."
"","001
304","79","3.044","15.2","10.1","60.8","1.3","11.4",".","1.3",".",".",".",".",".",".",".",".","."
"","304
002","33","3.515","54.5","12.1","24.2",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Bus Statistics","Course Total","112","3.183","26.8","10.7","50.0","0.9","10.7",".","0.9",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","700
001","13","3.692","46.2","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
700","14","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
700","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
004","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
005","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
700","16","3.750","56.3","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
007","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
008","15","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
009","16","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
010","16","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managerial Communication","Course Total","149","3.832","67.8","30.9","1.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
701","43","3.709","41.9","58.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
701","29","3.897","79.3","20.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managing Legal Environment","Course Total","72","3.785","56.9","43.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","704
003","45","3.489","51.1","6.7","31.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
