"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"","120
001","249","3.354","28.5","36.1","25.3","6.4","0.4","0.8","2.0","0.4",".",".",".",".",".",".",".","."
"","092
120","69","3.413","33.3","40.6","13.0","7.2","2.9","2.9",".",".",".",".",".",".",".",".",".","."
"Introduction-Dramatic Arts","Course Total","318","3.370","29.6","37.1","22.6","6.6","0.9","1.3","1.6","0.3",".",".",".",".",".",".",".","."
"Voice Training","140
001","14","3.607","78.6","7.1","7.1",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","150
001","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
002","14","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
150","17","3.813","88.2",".",".",".",".","5.9",".",".",".",".",".",".",".","5.9",".","."
"","150
004","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
005","17","3.706","64.7","11.8","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
006","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
007","14","3.885","71.4","21.4",".",".",".",".",".",".",".",".",".",".",".","7.1",".","."
"Fundamentals of Acting","Course Total","120","3.890","85.8","6.7","5.0",".",".","0.8",".",".",".",".",".",".",".","1.7",".","."
"","161
001","11","3.917","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","161
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
007","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","161
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
009","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Backstage Laboratory I","Course Total","37","3.868","83.8","10.8","2.7",".","2.7",".",".",".",".",".",".",".",".",".",".","."
"Fund-Stage Mkup,Hair,Costum","163
001","16","4.000","93.8",".",".",".",".",".",".",".",".",".",".",".",".",".",".","6.3"
"Fundamentals of Stagecraft","170
001","25","3.105","16.0","16.0","56.0","4.0","4.0",".","4.0",".",".",".",".",".",".",".",".","."
"Writing-Theatre&Performance","001
200","19","3.556","57.9","10.5","15.8",".","10.5",".",".",".",".",".",".",".",".",".",".","5.3"
"Wrld Theatre & Drama to 18c","221
001","25","3.521","56.0","24.0","4.0","4.0","4.0",".","4.0",".",".",".",".",".",".",".",".","4.0"
"Intermediate Voice Training","240
001","15","3.400","40.0","26.7","20.0",".","13.3",".",".",".",".",".",".",".",".",".",".","."
"Problems in Acting","250
001","15","3.700","66.7","13.3","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals-Movemnt for Stage","342
001","19","4.000","94.7",".",".",".",".",".",".",".",".",".",".",".",".",".",".","5.3"
"Acting Realism","350
001","18","3.882","77.8","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".",".","5.6"
"Backstage Laboratory II","361
001","20","3.963","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
002","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
362","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
004","10","3.650","70.0",".","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","362
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Drama in Ed:Pre-Middle Schl","Course Total","36","3.819","75.0","16.7","5.6","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"Stage Lighting I","366
001","18","3.362","38.9","22.2","33.3",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"Fundamentals of Directing","368
001","23","3.826","78.3","13.0","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Drafting for the Theatre","001
370","9","3.362","33.3","33.3","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"Stage Management","379
001","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theatre for Young Audiences","426
001","20","3.813","80.0","10.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Hist-Westrn Theatricl Dance","432
001","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 303 of 388",""
